frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.13161241015384254,6.0,6.131612410153842,6.131612410153842,1.6539538366847655
2,config_02.png,0.13830260000558606,6.0,6.138302600005586,6.138302600005586,1.7585107621637674
3,config_03.png,0.15041587419903774,6.0,6.150415874199037,6.150415874199037,1.653800155600349
4,config_04.png,0.16702006137057912,6.0,6.167020061370579,6.167020061370579,1.6186437120173118
5,config_05.png,0.16702006137057912,6.0,6.167020061370579,6.167020061370579,1.6186437120173118
6,config_06.png,0.17395150099691753,6.0,6.1739515009969175,6.1739515009969175,1.1202407973977146
7,config_07.png,0.17839696124331283,6.0,6.178396961243313,6.178396961243313,1.1923312949832203
8,config_08.png,0.18559750996724467,6.0,6.185597509967245,6.185597509967245,0.6806657406678324
