frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.4839667923949499,3.2,3.68396679239495,3.68396679239495,2.206283822935837
2,config_02.png,1.1041300882385794,3.2,4.30413008823858,4.30413008823858,1.7120994366863596
3,config_03.png,1.3746190059869114,3.2,4.574619005986912,4.574619005986912,1.7122067520107338
4,config_04.png,1.4900723289038063,3.2,4.690072328903806,4.690072328903806,1.676346151204483
5,config_05.png,1.5464930979914866,3.2,4.746493097991487,4.746493097991487,1.748101314763556
6,config_06.png,1.6054091192575262,3.2,4.805409119257527,4.805409119257527,1.855126394362641
7,config_07.png,1.6673805492687668,3.2,4.867380549268767,4.867380549268767,1.7838956528192396
8,config_08.png,1.7063892752650967,3.2,4.906389275265097,4.906389275265097,1.8551659597892456
