n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,sub_id
0.52256075,82.41794876,186.99868148,4.0,5.5,0.6344423,1.6944189,2.5746741,3.0860133,3.3428655,3.4966836,3.6123872,3.7078767,55
0.90854962,75.41504749,309.58919315,4.1,5.8,0.42847633,0.82857656,1.1540895,1.4281945,1.6577048,1.8517499,2.0161757,2.1579938,33
0.50214694,268.27861275,215.2738764,4.9,6.0,0.41751623,0.77020216,1.0453634,1.2836204,1.4913869,1.6754222,1.8381534,1.9839778,33
0.4034668163934932,65.82006913561534,0.0124855133882195,4.310762983173401,5.533499012124627,0.9801349639892578,3.3524489402771,5.665233612060547,7.411484718322754,8.310223579406738,8.613240242004395,8.730064392089844,8.794163703918457,43
0.48441458,131.61993505,78.64459288,4.2,5.9,0.63213587,1.6833706,2.5685716,3.11525,3.4291825,3.6393523,3.805077,3.9394488,54
0.8933782,160.97182256,317.86383731,4.89326257,5.34787396,0.36349964,0.5737772,0.79340887,1.00236845,1.19344378,1.37085676,1.53592587,1.6896615,13
0.46015992,184.83601184,205.74912758,4.8,5.4,0.5106344,1.1980014,1.7620215,2.1493483,2.4105158,2.6024294,2.75729,2.8874998,19
0.8189080627948029,0.8408788223716133,0.0113557849079621,4.649640893366521,5.740303556912272,1.3956031799316406,4.991937160491943,8.926177978515625,12.156715393066406,14.380250930786133,15.564655303955078,16.099889755249023,16.286653518676758,28
0.70893432,164.80249838,118.6073291,4.9,5.1,0.45445824,0.92796564,1.3262086,1.6691546,1.9626627,2.214974,2.4343624,2.6266127,58
0.69083564,39.30708773,74.71774451,4.87783428,5.50326558,0.82204914,2.62758398,4.25647306,5.32092524,5.85586405,6.12123251,6.28060675,6.39404154,9
0.92670934,186.63577361,203.64821093,4.3,5.3,0.33895922,0.50447464,0.6914263,0.8679533,1.0379434,1.1940875,1.3411026,1.4791813,16
0.6896362291664563,1.2006768209490153,1.8152336606425388,4.609813993606297,5.18731536761652,1.3975539207458496,4.999988079071045,9.022623062133787,12.25775146484375,14.296207427978516,14.91707992553711,14.942317962646484,15.024791717529297,29
0.48634395,280.32830842,164.83447483,4.6,5.1,0.41011477,0.75305605,1.0165267,1.2453933,1.4440804,1.6190472,1.7744622,1.9125409,52
0.30510095,14.07301235,26.72223473,4.65274668,5.72398472,1.33545208,4.63366079,8.37277222,11.70539665,14.25476265,16.20444107,17.05789185,17.12825203,30
0.72851384,257.00830787,75.32615841,4.0,5.9,0.3485179,0.5542021,0.7580142,0.9509201,1.1322088,1.2999926,1.4559379,1.6009269,14
0.65500339,13.35142158,367.43908358,4.83999005,5.67219416,0.75408602,2.4989934,4.20728159,5.49970961,6.14835024,6.29135847,6.29571581,6.29647398,10
0.6766206,257.96185303,208.97868347,4.52323675,5.94771481,0.36349678,0.60956526,0.84733057,1.07247925,1.27795076,1.46927166,1.64680958,1.81167793,13
0.90705528,186.80254785,344.46485495,4.55617519,6.04218558,0.33604765,0.49316406,0.69014311,0.876266,1.0490222,1.21173668,1.36607122,1.5119772,16
0.77823834,174.93420554,179.1090308,4.3,5.5,0.3870263,0.66484356,0.9157486,1.1496949,1.361187,1.5534878,1.7272792,1.8852015,13
0.32127014,86.88046552,389.22625984,4.3,5.3,0.60337496,1.6207399,2.4949036,2.9798217,3.078958,3.0794148,3.0822082,3.0851283,51
0.5976250121693156,40.30641396685392,0.4564479766093449,4.162476015059109,5.306735718427417,0.936030387878418,3.0743680000305176,5.032768726348877,6.344061374664307,6.97458028793335,7.257457256317139,7.41565465927124,7.527036190032959,21
0.63887104,259.57243076,75.73394328,4.46856286,5.62127827,0.40082359,0.75000811,1.05967045,1.34329653,1.59889889,1.83029604,2.03866339,2.22789907,32
0.6891065,8.41522843,171.87143525,4.03766791,5.59936384,0.98050976,3.29484415,5.63758469,7.51857758,8.52322102,8.82932091,8.87391853,8.87910748,46
0.87331903,84.86890645,258.71588868,4.03917546,5.96789953,0.44901085,1.0087266,1.48612595,1.88714743,2.22136545,2.50225925,2.74003935,2.94338465,58
0.35161882,171.18914951,95.2088705,4.55460626,5.40883759,0.66847754,2.03920126,3.31482887,4.1677103,4.57454491,4.73701191,4.83002663,4.90398121,41
0.67052561,35.34788177,310.97215034,4.9,5.5,0.67124844,1.9669852,3.1314616,3.885303,4.2528234,4.4101605,4.488627,4.5387616,42
0.59755682,55.17279508,300.47635662,4.8,5.5,0.63574886,1.789381,2.8100066,3.4578595,3.7756534,3.9259448,4.015264,4.0821958,26
0.86381439,12.49996962,132.4731457,4.6,5.4,0.88250303,2.7471666,4.3569956,5.373703,5.8910017,6.180003,6.368658,6.4963894,10
0.92901043,284.38812421,154.2763395,4.19734264,5.09838985,0.30225039,0.39095211,0.55012846,0.68951941,0.83448648,0.96620798,1.0931716,1.2173171,36
0.47,73.13,98.0,4.39381121,5.7,0.80728006,2.65204763,4.42198896,5.65688276,6.23960638,6.43208456,6.51378202,6.56837034,10
0.35529652,181.2872467,70.08757019,4.9949131,5.30716419,0.67134953,2.0287528,3.27539349,4.10347271,4.51372337,4.69441986,4.80297756,4.89000607,41
0.4978161841129477,157.68848439298716,0.0244047278545716,4.573517590400585,5.208625163784933,0.6320343017578125,1.7845149040222168,2.788776397705078,3.447926998138428,3.843652725219727,4.105690956115723,4.300127983093262,4.457686424255371,48
0.444181545495462,1.0601686450408876,301.62085591912575,4.822795159141423,5.401910142965516,0.904160976409912,3.155393123626709,5.455084323883057,7.423364162445068,8.625337600708008,8.990255355834961,9.007205963134766,9.007587432861328,46
0.56402385,10.06140327,233.89347839,4.27392197,5.59262753,0.93412113,3.16787195,5.45132828,7.33450985,8.39474964,8.69536877,8.71085739,8.71178722,46
0.4242814253629713,207.34958992067288,0.0420675226830873,4.256397985890878,6.015152829666691,0.6016559600830078,1.7531137466430664,2.813140392303467,3.53816556930542,3.968028545379639,4.229795932769775,4.412947177886963,4.558933734893799,48
0.30640689,48.86380385,215.56065077,4.86380536,5.85207282,0.89092064,3.08722353,5.32297659,7.18210745,8.26732635,8.60224152,8.62570763,8.62731552,46
0.6528971,225.10193586,98.04556336,4.0,5.6,0.3856387,0.6777196,0.92943096,1.1601415,1.3668442,1.5532813,1.7205162,1.8714972,12
0.9178102449169436,159.7156131995198,0.0573025579526748,4.663268369582883,5.872775660455883,0.4291567802429199,0.8193111419677734,1.1967110633850098,1.540605068206787,1.8529472351074217,2.138596534729004,2.398212432861328,2.633969306945801,56
0.54325654,181.57621138,391.31167418,4.2,5.9,0.38563395,0.6535268,0.8308945,0.98108196,1.1101842,1.223979,1.3245068,1.4139972,47
0.87251094,87.6484282,124.61199495,4.7,6.0,0.51127815,1.1337438,1.6625948,2.096116,2.4493322,2.7419004,2.9869852,3.2016916,2
0.67283076,116.62419606,377.47148754,4.8,5.2,0.4387164,0.8747549,1.2084503,1.4730101,1.6873631,1.8648858,2.0144687,2.1430197,53
0.7292047516623915,153.27006269044116,0.1469895794026061,4.487894821527334,5.384231411325144,0.499791145324707,1.1305866241455078,1.6634435653686523,2.105461597442627,2.4713664054870605,2.7795567512512207,3.041786193847656,3.267805576324463,0
0.32952511,107.63237516,261.09995759,4.0,5.3,0.63719463,1.7348294,2.667933,3.1708493,3.3169875,3.3553224,3.382316,3.4087834,26
0.68200567,171.71738387,175.64666571,4.1,5.5,0.41050005,0.7584162,1.0460739,1.3006577,1.5229106,1.7179999,1.8895507,2.0416975,33
0.74526121,32.93622763,323.22660921,4.1,5.5,0.6056433,1.5777936,2.3883324,2.8682656,3.0997214,3.2188382,3.2942796,3.3537774,51
0.47050071,210.46380615,59.0573349,4.04572439,5.45800209,0.52371025,1.33012486,2.02121639,2.50876522,2.8427968,3.08974886,3.28906488,3.45749235,1
0.58691912,231.48537155,53.76037142,4.1,5.1,0.422935,0.8069382,1.1229887,1.3983326,1.6364279,1.8439846,2.0258431,2.1866784,31
0.40711053,135.02657401,234.41896774,4.7,5.3,0.59553385,1.59794,2.4675913,3.003244,3.2591577,3.3889632,3.480904,3.560246,55
0.30655353,14.59962938,39.3513658,4.5,6.0,1.29781151,4.5184679,8.1662302,11.51110554,14.05146313,15.67066288,16.23817062,16.25505829,30
0.87008641,190.01356624,267.15624355,4.1,5.7,0.32746983,0.4757409,0.63462543,0.78567886,0.9317918,1.0656404,1.1910357,1.30896,37
0.5357789,13.66257399,143.24599151,4.9,5.1,1.0379376,3.4585404,5.82914,7.6700997,8.622387,8.934841,9.030016,9.072504,46
0.82992023,283.26087117,10.52857384,4.5,5.8,0.3534298,0.52394867,0.73172855,0.92816067,1.1183004,1.2940278,1.4611182,1.6190414,14
0.7334322479333366,1.475037316809609,0.0191832629077255,4.199355020513074,5.456991797130369,1.3792695999145508,4.856598377227783,8.629423141479492,11.73969268798828,13.838830947875977,14.837484359741213,15.22110366821289,15.357322692871094,28
0.33280675,39.79945399,209.42701529,4.2,5.2,0.8849759,2.761136,4.52614,5.752577,6.2716484,6.4035406,6.430109,6.4356775,10
0.82173014,97.29179382,55.61995697,4.24393749,6.04273033,0.52849245,1.30155706,1.96480656,2.4928441,2.91220188,3.25200272,3.53570795,3.77771807,1
0.68595757,157.96911584,308.14168188,4.5,5.5,0.40856457,0.79553413,1.11060095,1.38659,1.62730265,1.83845472,2.02375937,2.18771219,33
0.8511801361848996,4.889430966197,2.450880495360221,4.696102051137327,6.038439996755273,1.214951515197754,4.1757426261901855,7.076527118682861,9.320585250854492,10.65475845336914,11.258743286132812,11.516992568969728,11.711244583129885,4
0.39022629,36.58515832,172.29317957,4.3,6.0,0.9213238,2.9170237,4.7855883,6.0959044,6.691819,6.898181,6.9746675,7.009802,23
0.4742383,35.78688745,291.15892588,4.4,5.6,0.7563276,2.2923756,3.695035,4.5979652,4.944355,5.0327606,5.050665,5.054347,42
0.55718609,146.60459152,279.14589991,4.01000822,5.13048008,0.45902777,1.03509283,1.4977026,1.83717537,2.08840609,2.28400278,2.44316483,2.57636118,40
0.3432184161836766,81.4357688188903,0.0135781058401884,4.737884432367615,6.011992885699256,0.9844083786010742,3.472018241882324,5.960807800292969,7.946182250976562,9.063462257385254,9.449884414672852,9.556548118591309,9.606285095214844,43
0.34291959,9.45552373,211.97209221,4.9,5.9,1.0273781,3.4529424,5.9072022,7.9283547,9.085171,9.455,9.52112,9.540777,46
0.6284007408995572,2.1636289171017524,7.742438539100858,4.360543049564102,5.7251106322423,1.3634858131408691,4.879329204559326,8.828643798828125,12.174674987792969,14.489831924438477,15.545820236206056,15.732915878295898,15.741233825683594,29
0.89384511,249.03414528,368.06989378,4.8,5.8,0.3165207,0.37392426,0.49177694,0.60376453,0.71804667,0.8168454,0.9190521,1.0156155,7
0.5461186,224.78435508,306.71502627,4.1,5.9,0.3684945,0.60023355,0.76837206,0.9215002,1.057107,1.1796069,1.2899089,1.3898582,47
0.51603753,16.9154374,301.44937224,4.2,5.1,0.80267715,2.4475713,3.9736428,4.9699607,5.333299,5.400455,5.4015384,5.4017367,42
0.85192948,243.48397792,167.50211825,4.2,5.3,0.3239727,0.4600215,0.6254916,0.77940464,0.93367386,1.0740819,1.2071381,1.3337364,36
0.62699473,229.06967166,268.76628626,4.7,5.3,0.37623215,0.61509323,0.81552076,1.0055394,1.1757002,1.3313622,1.4730539,1.6030536,13
0.65863487,111.02429652,275.85579919,4.54294006,5.21584847,0.48793983,1.13582993,1.67017126,2.06890535,2.36526871,2.59496689,2.7790308,2.9325552,2
0.8701649855753353,129.43818233857368,0.0123355159519125,4.715224134421807,5.732467269741292,0.4827766418457031,1.048173904418945,1.5395236015319824,1.96903657913208,2.3413147926330566,2.666691303253174,2.9504432678222656,3.199619770050049,56
0.307414,13.30094433,12.32387161,4.62339926,5.28531313,1.37061405,4.71700048,8.50073624,11.796278,14.46098709,16.25359154,17.04683495,17.15988541,30
0.48606988,237.94507045,171.42497814,4.58040736,5.20735525,0.45199156,0.97618628,1.39541912,1.72391748,1.98615646,2.20402622,2.38840723,2.54762983,39
0.57685822,211.07995202,133.32217862,4.2,5.1,0.42687082,0.8209419,1.1362233,1.4039292,1.6321216,1.8292737,2.0002813,2.1502948,33
0.574289881140385,1.601333729570774,251.8604606232327,4.926979711473337,5.499612807444438,0.9579076766967772,3.376112937927246,5.868832588195801,8.031017303466797,9.371253967285156,9.800333976745604,9.833000183105469,9.83443832397461,46
0.82882747,237.67690841,116.04971997,4.4,5.5,0.35157156,0.5306883,0.7324581,0.92405415,1.1072011,1.2768521,1.4365034,1.5869303,15
0.30826913,27.25919785,87.03327847,4.6,5.7,1.1433935,3.806642,6.4699073,8.571201,9.725576,10.057165,10.1593075,10.242929,45
0.947321234866353,16.593801950610995,0.5916268584795576,4.356621982524438,5.392501689155026,0.8904047012329102,2.772925853729248,4.370824337005615,5.378885746002197,5.951266765594482,6.307514667510986,6.55025053024292,6.726755619049072,8
0.61445559,92.69476366,335.7491853,4.1,6.0,0.48842907,1.0651011,1.5157123,1.8154898,2.0163717,2.1636057,2.2805033,2.3776007,17
0.93044741,160.41291762,7.77485609,4.9,6.0,0.42976665,0.7807059,1.1286988,1.4485369,1.7392559,2.0054479,2.2469769,2.4677172,31
