frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,1.855822150442962,2.0,3.855822150442962,3.855822150442962,2.999926731735986
2,config_02.png,3.042046420300969,2.0,5.042046420300969,5.042046420300969,2.4864021055592684
3,config_03.png,3.950970551398214,2.0,5.950970551398214,5.950970551398214,2.520731835205109
4,config_04.png,4.343508218177681,2.0,6.343508218177682,6.343508218177682,2.134910477673907
5,config_05.png,4.561977074309412,2.0,6.561977074309413,6.561977074309413,2.4162047928564077
6,config_06.png,4.648938566799608,2.0,6.648938566799608,6.648938566799608,2.451004309681953
7,config_07.png,4.722194897085445,2.0,6.722194897085446,6.722194897085446,2.5895648232773154
8,config_08.png,4.784753079123746,2.0,6.784753079123747,6.784753079123747,2.41612049666273
