n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,source_pool,source,split,gid,length_bin,sub_id
0.63272503,197.90812429,269.10261157,3.2,5.4,0.28844452,0.4446559,0.57668924,0.694695,0.8037553,0.9017291,0.9912033,1.0731416,v6_1_train,orig_train,train,8,0,2
0.44825919,36.25407746,220.02493145,3.1,5.3,0.7156682,1.993227,3.014524,3.4991755,3.6501784,3.6939225,3.7064872,3.717073,v6_1_train,orig_val,train,8,1,6
0.57031107,126.90648925,35.42991039,3.8,5.5,0.5783386,1.4114232,2.0868206,2.535316,2.8393683,3.070272,3.2578702,3.4188714,v6_1_train,orig_train,train,8,1,8
0.8285927,207.96665793,7.58836667,3.0,6.0,0.31221819,0.56458592,0.82808375,1.07435751,1.3069067,1.52421236,1.72632217,1.91390657,v6_1_test,orig_train,train,8,1,7
0.56064715,207.39031491,380.59420159,3.9,5.3,0.3371029,0.5070176,0.62515163,0.7352748,0.8353729,0.92469454,1.006125,1.0810671,v6_1_train,orig_train,train,8,0,4
0.63323259,298.67300422,14.324562,3.7,5.1,0.33749008,0.54833364,0.7503581,0.9371338,1.111939,1.2731643,1.4218564,1.5599437,v6_1_train,orig_train,train,8,1,7
0.41660794,13.40969184,24.41792959,3.9534848,6.03805082,1.285326,4.37813807,7.75584936,10.92985535,13.056036,14.06349564,14.33480453,14.34522247,v6_1_train,orig_train,val,8,2,12
0.86146754,118.25551605,173.77549744,3.58961463,5.62677813,0.40152907,0.8170054,1.18215108,1.50858712,1.7962749,2.04908109,2.27071738,2.46790528,v6_1_train,orig_train,val,8,1,5
0.99178088,208.54533865,254.67859388,3.0,5.4,0.19884586,0.26759386,0.37447453,0.45595026,0.5400834,0.62087584,0.6969528,0.76876116,v6_1_train,orig_train,train,8,0,0
0.52868047,134.03758038,359.8346287,3.9,5.8,0.43036938,0.8375797,1.1188626,1.3127804,1.4571924,1.5744905,1.672904,1.756722,v6_1_train,orig_train,train,8,1,9
0.967650873108342,195.6807845408824,0.0252886587658644,3.910914297180594,5.035543019834794,0.3522260189056396,0.5680019855499268,0.8245108127593994,1.0560262203216553,1.2770650386810305,1.4833924770355225,1.6771724224090576,1.8585474491119385,,,,8,1,7
0.41978033,143.75389316,143.97564474,3.9,5.7,0.59109926,1.5027709,2.2491493,2.6841512,2.914702,3.0625987,3.1799989,3.2797656,v6_1_train,orig_train,train,8,1,8
0.40131704,229.48430842,308.04723709,3.3,5.7,0.33232355,0.5301266,0.64419985,0.7409749,0.82551956,0.8981757,0.96242285,1.020359,v6_1_train,orig_train,train,8,0,4
0.73610546,188.51964131,166.7714224,3.1,5.6,0.2846732,0.46699047,0.6356907,0.7883506,0.9292531,1.0569959,1.17452,1.2820497,v6_1_train,orig_train,train,8,0,2
0.5815388,110.26051195,231.0569233,3.3,5.2,0.44089413,0.91968775,1.2738786,1.5151601,1.6907926,1.8302608,1.9427452,2.0378494,v6_1_train,orig_train,train,8,1,9
0.3167061,90.72277866,390.9927059,3.76971347,6.00599618,0.59896731,1.89088273,3.17634988,4.12565899,4.58258343,4.61141968,4.61415195,4.61446285,v6_1_train,,,8,1,6
0.82715553,99.74851227,375.46411133,3.21225452,5.96509171,0.3506279,0.7104857,1.01622581,1.28766441,1.52525425,1.73432732,1.91745043,2.07890081,v6_1_test,orig_train,train,8,1,5
0.54370621,223.48860087,283.92872303,3.2,5.1,0.28725576,0.43127012,0.5445628,0.6448417,0.7376919,0.8212395,0.8979368,0.9678006,v6_1_train,orig_train,train,8,0,4
0.7295639312321925,1.0612934100534182,26.31868586582117,3.1351167240553792,5.4365652486390434,1.2916386127471924,4.435256004333496,8.01408863067627,11.290075302124023,13.590435981750488,14.603114128112791,14.782490730285645,14.78446102142334,,,,8,2,12
0.742039194542589,0.7853855626618814,0.1172215613112447,3.085574688621758,5.742503917378015,1.3663578033447266,4.74420166015625,8.633852005004883,12.203216552734377,14.884361267089844,16.057607650756836,16.112812042236328,16.12248992919922,,,,8,2,12
0.43598281,14.15403763,0.62749155,3.90414848,5.98110395,1.32360911,4.45589256,7.8688345,11.00117779,13.06205177,14.05602455,14.34209061,14.38558769,v6_1_train,orig_train,train,8,2,12
0.30860945,148.71975421,180.6186188,3.52925346,5.07617639,0.63649511,1.92076206,3.09962511,3.84264135,4.11150217,4.16860151,4.2034111,4.23661137,v6_1_test,orig_train,train,8,1,6
0.76619596,39.36949375,331.21283127,3.0,5.4,0.440619,0.95536375,1.3194513,1.5227346,1.6392012,1.7173934,1.7740064,1.8199596,v6_1_train,orig_train,train,8,1,9
0.40637836,48.85553003,67.0539324,3.24306768,5.37859479,0.94605207,3.11294699,5.31494999,6.98070431,7.76606178,7.94074249,7.96577168,7.97960854,v6_1_train,orig_train,train,8,2,10
0.5886884576464143,20.754743055622857,0.0079451323670265,3.439133197935084,5.955250816224324,1.086782932281494,3.637550830841065,6.248248100280762,8.32690143585205,9.431371688842772,9.822260856628418,9.955081939697266,10.030447006225586,,,,8,2,14
0.94973083,22.09988768,246.1287148,3.03809057,5.64915984,0.58771634,1.67870355,2.65038943,3.28568625,3.66808581,3.89781737,4.04900074,4.16273689,v6_1_train,orig_train,train,8,1,6
