n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,source_pool,source,split,gid,length_bin,sub_id
0.54595145,246.97175776,46.51207262,2.1,2.3,0.16704512,0.26867843,0.36528826,0.45315075,0.5333078,0.6072166,0.67533517,0.7390325,v6_1_train,orig_train,train,0,1,7
0.92389798,235.0650177,254.9090271,2.39510012,2.38474464,0.10270667,0.1580925,0.20538449,0.24821949,0.2926321,0.33645797,0.37792635,0.41788435,v6_1_train,,,0,1,4
0.85485051,71.37280199,47.64008597,2.19695089,2.52271828,0.33709478,0.68767905,0.97191715,1.20351505,1.39430737,1.55398703,1.68900371,1.80708408,v6_1_train,orig_train,val,0,2,11
0.4855183787231251,1.817255630724648,35.22183497598324,2.5,2.5,1.1314690113067627,3.6473426818847656,6.284025192260742,8.22658634185791,9.102781295776367,9.173029899597168,9.1736421585083,9.173907279968262,,infill:state_gid_0,train,0,4,20
0.30304089,290.01080322,151.91267395,2.01981831,2.67747164,0.22276211,0.33800292,0.4242065,0.4975698,0.56182623,0.61857462,0.66846752,0.7151382,v6_1_train,orig_train,train,0,1,7
0.96391058,178.54380798,142.83784485,2.83434558,2.20580745,0.14082956,0.22943091,0.31525588,0.39628839,0.47362685,0.54770064,0.61764169,0.68375254,v6_1_train,orig_train,train,0,1,7
0.6395142273259891,300.0,342.08551882743217,2.8,2.6,0.143599271774292,0.1494295597076416,0.1714212894439697,0.2081537246704101,0.2403404712677002,0.2650158405303955,0.2904794216156006,0.3143272399902344,,infill:state_gid_0,train,0,1,8
0.51505914,206.31421627,302.93052645,2.2937351,2.4149819,0.14942098,0.19364834,0.24119139,0.28187776,0.31877613,0.35333276,0.38549352,0.41503048,v6_1_train,orig_train,train,0,1,5
0.94885072,239.17157026,289.70984105,2.9,2.6,0.1441338,0.18490314,0.23229027,0.2963419,0.3521073,0.40424824,0.45458293,0.50277257,v6_1_train,orig_train,train,0,1,5
0.30620362,64.75349878,38.6913941,2.2,2.3,0.7335541,2.011586,2.8363078,3.1231797,3.19826,3.2322638,3.2609122,3.287536,v6_1_val,orig_train,val,0,3,15
0.508803232418259,7.802336550615266,1.191553744742345,2.74962439,2.60703836,1.148857355117798,3.567568302154541,5.767223358154297,7.04515266418457,7.536825180053711,7.719023704528809,7.868895530700684,7.982222557067871,,infill:state_gid_0,val,0,4,22
