frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.823055336095993,5.1,5.9230553360959926,5.9230553360959926,1.8191790279788012
2,config_02.png,1.7593773107994752,5.1,6.859377310799475,6.859377310799475,1.4612242144779797
3,config_03.png,2.3712321737085436,5.1,7.471232173708543,7.471232173708543,1.46568443573597
4,config_04.png,2.5327155527558007,5.1,7.6327155527558,7.6327155527558,1.7953715086143185
5,config_05.png,2.6508693058281176,5.1,7.750869305828117,7.750869305828117,1.467722898706214
6,config_06.png,2.7381984727899926,5.1,7.838198472789992,7.838198472789992,1.7606731381616947
7,config_07.png,2.8095632442368728,5.1,7.909563244236873,7.909563244236873,1.797364849549593
8,config_08.png,2.8847553602160203,5.1,7.9847553602160195,7.9847553602160195,1.905960111204208
