frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,1.1162881815183545,5.4,6.516288181518355,6.516288181518355,2.3125041539354823
2,config_02.png,2.7889993667305353,5.4,8.188999366730537,8.188999366730537,2.0153006716713024
3,config_03.png,4.52788338765958,5.4,9.92788338765958,9.92788338765958,0.9339059087264595
4,config_04.png,5.8943058367588215,5.4,11.294305836758822,11.294305836758822,0.857711011342352
5,config_05.png,7.004853091757862,5.4,12.404853091757863,12.404853091757863,1.4337528889057176
6,config_06.png,8.109029222743734,5.4,13.509029222743735,13.509029222743735,1.2934069405053927
7,config_07.png,9.10471748819033,5.4,14.50471748819033,14.50471748819033,1.0151541289969508
8,config_08.png,9.758681998989772,5.4,15.158681998989772,15.158681998989772,1.6870544943359573
