gid,N,n_bins,n_subs,fit_seconds
0,16248,5,25,1.9789018630981445
2,16144,4,19,0.4732527732849121
3,14759,3,14,0.3649013042449951
5,17999,5,25,0.5421156883239746
6,16385,5,25,0.5139656066894531
9,13881,4,19,0.3842735290527344
11,15788,5,24,0.4480438232421875
12,20401,5,24,0.4809746742248535
15,17759,5,25,0.5282819271087646
17,18758,5,25,0.4588632583618164
21,17095,5,25,0.5352129936218262
23,15285,3,14,0.3370852470397949
24,15872,3,14,0.26207423210144043
