frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.09089840767808506,2.1,2.1908984076780853,2.1908984076780853,1.6626294619995485
2,config_02.png,0.11334861454548005,2.1,2.21334861454548,2.21334861454548,1.6988739025882105
3,config_03.png,0.19017347504063536,2.1,2.2901734750406355,2.2901734750406355,-2.951083749288946
4,config_04.png,0.19017347504063536,2.1,2.265726862660822,2.265726862660822,1.6991187944397412
5,config_05.png,0.19017347504063536,2.1,2.2706304445424235,2.2706304445424235,1.7352019139577457
6,config_06.png,0.19576865400708737,2.1,2.2957686540070874,2.2957686540070874,1.663120850125882
7,config_07.png,0.2006448320419293,2.1,2.3006448320419293,2.3006448320419293,1.6992820516406049
8,config_08.png,0.2181035579314195,2.1,2.3181035579314195,2.3181035579314195,1.699363679031024
