frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,1.3010915812497668,2.1,3.401091581249767,3.401091581249767,2.6524602379195183
2,config_02.png,3.4614464933979514,2.1,5.561446493397952,5.561446493397952,2.2665550166720365
3,config_03.png,5.508744817167627,2.1,7.6087448171676275,7.6087448171676275,2.1149188549567515
4,config_04.png,6.259895290408858,2.1,8.359895290408858,8.359895290408858,2.2614257753991756
5,config_05.png,6.757612338354415,2.1,8.857612338354414,8.857612338354414,2.162835567352153
6,config_06.png,6.987387747823795,2.1,9.087387747823795,9.087387747823795,2.234532252711921
7,config_07.png,7.041177456212566,2.1,9.141177456212567,9.141177456212567,2.3727622214216093
8,config_08.png,7.0713166534706895,2.1,9.17131665347069,9.17131665347069,2.4073097886766703
