n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,gid,basin_k,sub_id
0.30633929,112.89565125,31.30060289,6.0,2.7,0.7984848,2.6661985,4.6061916,6.086007,6.766984,6.883256,6.900071,6.915022,15,0,2
0.63838218,48.27004584,360.19232354,5.16796541,2.89778505,0.42649078,0.90631962,1.21904373,1.36462164,1.43624401,1.48448706,1.52121782,1.55133152,15,3,21
0.33268193,125.36430629,257.84749789,5.25447187,2.49355451,0.38242388,0.77625132,0.98924732,1.0724473,1.12484217,1.16769743,1.2035594,1.23469162,15,3,22
0.53550619,8.74471951,0.32199234,5.97758389,2.92883086,1.25991631,3.7850275,6.01323128,7.4031353,8.00021648,8.40257263,8.92873001,9.4643259,15,6,41
0.63679716,143.69960263,262.36193083,6.0,2.5,0.3229549,0.7129209,1.050524,1.3395951,1.5847855,1.7940335,1.9730425,2.128106,15,5,30
0.41858568,249.74537167,63.44532222,5.0,2.5,0.38500667,0.90881944,1.3374264,1.6497002,1.881474,2.0662856,2.220869,2.352478,15,2,17
0.33332545,177.27863982,297.76266647,6.0,2.3,0.37603164,1.040515,1.6719396,2.0928218,2.3192222,2.4381683,2.5214427,2.5904558,15,2,12
0.59084802,287.10960735,130.64315451,5.44802319,2.31927574,0.16735697,0.24882364,0.33627033,0.41104174,0.47677231,0.54140425,0.60329247,0.66067648,15,1,11
0.67391274,253.67421853,23.23053842,5.5,2.5,0.27232337,0.5060985,0.73519206,0.9493885,1.1497095,1.3360999,1.5077834,1.6663637,15,5,32
0.577127,74.67191162,89.49066104,5.9,2.2,0.55649424,1.696532,2.7582946,3.4262047,3.7667542,3.9487448,4.074829,4.1771393,15,2,14
0.57700914,86.54926312,216.89306959,5.72414334,2.9500195,0.45859098,1.01695204,1.42730618,1.67288542,1.83264303,1.95093393,2.04635143,2.12786579,15,2,12
0.57216286,285.4701381,162.30989539,5.4,2.7,0.266675,0.46880603,0.6562083,0.8303294,0.9927385,1.1441028,1.2839129,1.4131978,15,5,36
0.37990908,29.66395356,46.74853906,5.5,2.5,0.9636116,2.76383543,4.18558741,4.90977621,5.25032187,5.49912119,5.67859316,5.80755377,15,2,15
