n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,sub_id
0.38880911,85.75875002,79.92917002,2.4,4.6,0.5990324,1.5609059,2.2006254,2.4875035,2.6322422,2.7272477,2.8067427,2.876295,66
0.47076885,278.37175452,376.26148179,2.5,4.0,0.15281773,0.16045094,0.20478916,0.23050022,0.24495125,0.2637167,0.28108692,0.2950139,36
0.6611586,262.06717463,92.38127129,2.2,4.8,0.16398478,0.25264215,0.34948397,0.431005,0.51030016,0.5855336,0.654407,0.7204499,48
0.30538786,267.99875669,42.60101803,2.62686755,4.04394458,0.45584822,1.13191104,1.64025021,1.91956043,2.08204651,2.20255804,2.30343199,2.39006281,65
0.30056304,10.89475822,22.03336906,2.00594759,4.29189873,1.17106938,3.83514977,6.94232512,9.71141624,11.46166611,12.07330322,12.10421753,12.10527802,40
0.92084489,119.83284529,4.69171517,2.99,4.0,0.36047053,0.69362497,1.00478387,1.2823205,1.52905512,1.74935293,1.94440937,2.11855888,13
0.397666,20.226765,29.512873,2.5,4.0,1.10949421,3.52025461,5.96943188,7.70997238,8.4692688,8.5853548,8.60214043,8.61201668,23
0.83203333,194.02314345,199.54725087,2.2,4.8,0.15044785,0.22360277,0.30680037,0.37527752,0.44288254,0.5064635,0.56447124,0.61978054,50
0.51617447,109.01324214,123.97308131,2.7,4.4,0.45844078,1.0388684,1.4536991,1.7044001,1.8690352,2.0003796,2.105956,2.1942563,66
0.43791615,140.963277,218.37030998,2.5,4.1,0.34210157,0.65033007,0.8389907,0.9646096,1.0623641,1.1412959,1.207118,1.2654309,19
0.37954608,184.39966347,21.33259893,2.8,4.4,0.4884925,1.1385484,1.6048942,1.8690715,2.0394845,2.1746826,2.2867599,2.3834858,65
0.34674923,219.39441074,6.33696305,2.0,5.0,0.32347202,0.63464737,0.84723425,0.9996748,1.1215463,1.221817,1.3103957,1.3885522,57
0.51226699,213.8210907,285.0690918,2.01880217,4.91071224,0.21897244,0.40616655,0.56229663,0.70424986,0.83326411,0.95116091,1.05749869,1.15504169,6
0.37852204,231.97162891,231.06653598,2.8,4.9,0.2959571,0.48410416,0.59686947,0.69107103,0.7704563,0.8409958,0.9021292,0.9577093,59
0.62093014,116.41503906,0.0233693,2.06598425,4.3106966,0.43343782,1.08689666,1.59807086,1.95102906,2.21022534,2.41512942,2.5840404,2.72837234,33
0.80011583,152.23848847,17.72197712,2.7,4.1,0.29622364,0.55484486,0.7893925,0.9977784,1.1841698,1.350492,1.4991984,1.6327925,53
0.89093661,154.91606254,40.71493181,2.5,4.1,0.2382617,0.42662716,0.61064816,0.7766595,0.9293766,1.0700226,1.198803,1.3173943,54
0.6416207,149.77507085,185.07585914,2.1,4.7,0.20254707,0.32365274,0.43150663,0.52305317,0.6045284,0.67748547,0.74366903,0.80387163,30
0.70649608,291.20792137,261.15002613,2.2,4.2,0.13029385,0.14441204,0.18844366,0.23069477,0.26036978,0.2912674,0.32204485,0.35065317,36
0.89688478,91.35710073,69.41572874,2.6,4.7,0.3255124,0.6513486,0.9296756,1.1705613,1.3775778,1.5564909,1.7117324,1.8484235,14
0.9624569486586853,165.1547882736183,0.017358888433192,2.033684506146894,4.828920594506901,0.2064125537872314,0.3790762424468994,0.559798002243042,0.737032413482666,0.9057607650756836,1.067270278930664,1.2206552028656006,1.3651201725006104,3
0.7376784226303958,4.570391130242366,1.6313514793775203,2.6858999384544284,4.510156199743514,1.1965186595916748,3.867583990097046,6.586399078369141,8.512312889099121,9.464211463928224,9.847857475280762,10.020179748535156,10.133014678955078,21
0.8040235311625779,1.842861486091864,0.5187821733769243,2.3536722183303587,4.620677757603957,1.2280819416046145,4.032050609588623,7.106199264526367,9.476404190063477,10.770885467529297,11.327669143676758,11.547445297241213,11.655330657958984,37
0.88402732,162.46827211,394.26844236,2.5,4.7,0.16346312,0.19062805,0.24953747,0.30041313,0.33321667,0.36810446,0.40365458,0.43518448,18
