n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,gid,basin_k,sub_id
0.42095861,19.14515305,22.0238266,6.46178532,3.15095282,1.1772995,3.58143616,5.73240948,7.08120441,7.63391304,7.96500683,8.32518864,8.65894794,21,7,49
0.67790526,159.96536255,0.95332426,6.73685646,3.88602924,0.48402977,1.02288818,1.47735977,1.85186577,2.16010952,2.41797543,2.63694286,2.82730961,21,5,35
0.88773739,12.62782669,132.54820251,6.1077919,3.76392627,0.83045197,2.40977335,3.67801523,4.43049669,4.86201811,5.13832235,5.33291864,5.47643042,21,1,8
0.73088063,259.98565355,122.97708809,6.1,3.3,0.3024752,0.5070512,0.7233207,0.9276588,1.120486,1.3023393,1.4730384,1.6337993,21,3,27
0.80381783,128.63826748,348.70739598,6.2,3.0,0.30752063,0.587589,0.83857083,1.0711741,1.2835789,1.4765711,1.6517415,1.8105154,21,3,21
0.79313502,59.26277059,89.64324306,6.5,3.6,0.6108606,1.733216,2.7594912,3.480633,3.965668,4.2844734,4.5111027,4.6869507,21,1,8
0.45434794,106.94883728,131.83247375,6.72032166,3.55937529,0.6210494,1.6204443,2.42342281,2.86818218,3.10035896,3.25162506,3.36846542,3.47103405,21,4,30
0.4267551,60.52612165,298.10878982,6.3,3.6,0.67513967,2.2303178,3.8220336,5.0268574,5.6434765,5.7501173,5.7524843,5.755497,21,6,41
0.3892729,292.89836871,72.961211,6.7,3.8,0.46731782,1.1987898,1.8653028,2.3697293,2.7301295,2.9960535,3.2060235,3.3851154,21,0,0
0.91789359,162.76301575,297.52996826,6.99558544,3.50985336,0.28841782,0.42483521,0.56370258,0.68830681,0.8100853,0.92016315,1.02380037,1.12153101,21,5,36
0.916132,220.75397809,373.40878474,6.9,3.7,0.27775502,0.37970567,0.5297334,0.6715052,0.81168246,0.9441669,1.0733521,1.1974213,21,3,26
0.36380413,7.86285132,97.6213962,6.3,3.5,1.1777747,4.0068417,7.192706,10.427676,12.757587,13.920952,14.150658,14.150837,21,7,49
0.93530363,204.1609052,184.4261871,6.4,3.2,0.27611828,0.4320848,0.624773,0.8053889,0.98083115,1.1477194,1.3072233,1.4598627,21,3,24
0.51501668,142.26317154,57.98391838,7.0,3.4,0.57456994,1.6822586,2.7778106,3.5696611,4.056714,4.3315587,4.5137854,4.6551437,21,1,10
0.73185021,11.93479411,6.77358414,6.5,3.0,1.04977703,2.99541855,4.47615147,5.30417442,5.82018566,6.25526333,6.62352943,6.9122324,21,1,11
0.53452049,287.44566942,181.57291851,6.05947091,3.37886255,0.30227423,0.46035814,0.59647989,0.72132635,0.83775663,0.94344902,1.04068661,1.13083744,21,5,36
0.3037315,15.85172844,130.04858398,6.85628414,3.03381205,1.00301838,2.99336624,4.81852722,5.93505764,6.32799625,6.51870346,6.63402843,6.71256065,21,1,9
0.63844368,197.43910474,243.17117181,6.4,3.0,0.31867552,0.63237333,0.90656304,1.1586857,1.3865538,1.5928731,1.7782226,1.9455972,21,3,21
0.53472513,26.12784214,128.40477962,6.9,3.8,0.9437759,3.2437212,5.6853886,7.7857847,9.0291395,9.432917,9.48572,9.49429,21,6,43
0.52278152,3.16860858,0.02624802,6.33260944,3.42269903,1.41914272,4.58974838,7.90533733,10.34642124,11.93058872,12.74730396,13.13060474,13.25456333,21,7,46
0.79983498,243.58840535,84.75401839,6.4,3.1,0.28838778,0.48567557,0.7041011,0.91077185,1.1086693,1.2969561,1.475029,1.6435409,21,3,24
0.98384088,102.35715485,152.11357117,6.29920483,3.77380705,0.39194632,0.71928263,1.01410723,1.28248882,1.52255964,1.7372303,1.92790127,2.09862423,21,3,23
0.50974154,224.58524781,244.20628505,7.0,3.0,0.34140062,0.7548795,1.114737,1.4251394,1.691278,1.9210887,2.1202984,2.2954736,21,3,21
0.57903014,228.86371362,182.07801189,6.04769134,3.75722705,0.36936665,0.63229036,0.8413167,1.02988291,1.1978178,1.34800482,1.48301792,1.60482502,21,5,36
0.49763492,243.46707695,362.93387911,6.7,3.0,0.2901268,0.56104183,0.7761445,0.9719362,1.1497102,1.3116336,1.4589148,1.5933685,21,3,21
0.30910512,15.62987809,7.07063222,6.35121791,3.80448286,1.34708881,4.39446211,7.58889627,10.0256176,11.33364105,11.88436699,12.16845894,12.4697113,21,7,48
0.7182583,231.68300137,155.3091746,6.9,3.1,0.30117154,0.5478046,0.78808,1.0189872,1.2370782,1.4422092,1.6337223,1.8123775,21,3,22
0.92579993,196.78887114,88.01477946,6.4,3.5,0.32079887,0.53483415,0.7800162,1.009258,1.229141,1.4367163,1.6326005,1.817621,21,3,23
0.88398856,97.17079163,370.70230103,6.38215494,3.22504187,0.2983675,0.4770956,0.62114906,0.75181532,0.86713362,0.96879578,1.05827427,1.13874102,21,5,34
