frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.6786782952875242,2.9,3.5786782952875242,3.5786782952875242,3.0422080948986214
2,config_02.png,1.7215786546460303,2.9,4.62157865464603,4.62157865464603,2.1525402975709373
3,config_03.png,2.3715315340034087,2.9,5.271531534003408,5.271531534003408,2.0810854183624357
4,config_04.png,2.6207685016376416,2.9,5.520768501637641,5.520768501637641,2.463802894705738
5,config_05.png,2.761482793233311,2.9,5.6614827932333105,5.6614827932333105,2.532268095790588
6,config_06.png,2.8375716571576475,2.9,5.737571657157647,5.737571657157647,2.668692206724238
7,config_07.png,2.9186042151923623,2.9,5.818604215192362,5.818604215192362,2.600415347092952
8,config_08.png,2.9797676131682564,2.9,5.879767613168256,5.879767613168256,2.1503647245644326
