run,geom,n,eta,sigma_y,mpm_x_01,mpm_x_02,mpm_x_03,mpm_x_04,mpm_x_05,mpm_x_06,mpm_x_07,mpm_x_08,iou_01,iou_02,iou_03,iou_04,iou_05,iou_06,iou_07,iou_08,wrms_vs_real,mean_iou
setup1A_on_A,A,0.605,3.44,11.3,1.2205374,3.716066,6.07228,7.508438,8.070209,8.239658,8.372808,8.461738,0.8813135522587098,0.8225404371267899,0.7101036376398695,0.6609372807632945,0.6408803373748023,0.6288321051456279,0.6205671548769087,0.6166329222651696,0.48720944785570486,0.6977259284313966
joint_on_A,A,0.39,17.19,53.82,1.0122473,3.0294437,4.755297,5.674877,5.8904457,5.9435415,5.958973,5.9636583,0.8501376032024018,0.8880289285034575,0.8387968742320735,0.8217917251051894,0.8245554326554922,0.8248404969778375,0.8266866691669792,0.8278192371475953,0.16242109153488438,0.8378321208738784
truth_on_A,A,0.572,13.9,11.1,1.0333285,3.027907,4.565132,5.3282046,5.622348,5.7681665,5.859703,5.9262877,0.854331693487868,0.889905924230867,0.8598064906268897,0.8548789901466648,0.8475707536947947,0.8357299024554322,0.8283962807537234,0.8239265787984151,0.1361967449430432,0.8493183267743318
setup1B_on_B,B,0.337,41.8,11.04,0.8683939,2.386672,3.4097047,3.9014854,4.17306,4.352301,4.469175,4.5420127,0.9018057110862262,0.925706771860618,0.9266325831444685,0.9187132480110688,0.9104569295468506,0.9058689198447134,0.9059485530546624,0.903883239831697,0.13654898437284407,0.9123769945475382
joint_on_B,B,0.39,17.19,53.82,0.9135189,2.5640497,3.7370467,4.263493,4.5186954,4.695008,4.8067784,4.8644805,0.9065649496080627,0.9337528196604535,0.9064288634505315,0.8961424332344213,0.8874141876430206,0.8820515085921279,0.8814196783676292,0.8811763203813253,0.14560170547166296,0.8968688451171964
truth_on_B,B,0.572,13.9,11.1,0.9462452,2.568657,3.6393738,4.1939826,4.5606036,4.8490357,5.059319,5.2072854,0.9112604101056757,0.9349361828435737,0.9182819041711894,0.9025641025641026,0.8817985027509696,0.8676723396940004,0.8544651335617852,0.8452476358390768,0.152454045840494,0.8895282764412966
