n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,gid,basin_k,sub_id
0.37936521,125.13082545,169.11973284,6.8,5.3,0.6984348,2.3953886,4.099977,5.43442,6.184983,6.455049,6.5391355,6.5855145,23,3,17
0.65663744,44.20522125,310.39625641,6.5,5.9,0.6597848,2.1560016,3.5924048,4.6561456,5.262998,5.524716,5.648803,5.725867,23,7,36
0.65436763,294.58407593,206.56063843,6.54439592,5.95391655,0.3811512,0.6168623,0.86246252,1.08757973,1.28489017,1.47328615,1.65073347,1.81785917,23,6,28
0.312357,46.6472783,139.33391863,6.1,5.4,0.9937725,3.529378,6.155386,8.382114,9.769498,10.285041,10.371262,10.384913,23,3,16
0.85705336,73.61949092,388.18572308,6.6,5.7,0.47029018,1.1428833,1.7008362,2.1556463,2.5297208,2.8387523,3.0972772,3.325808,23,0,3
0.30414399,32.00898412,115.66732065,6.90376374,5.61969944,1.09454727,3.87265491,6.76442623,9.16884804,10.61734772,11.18789291,11.32391548,11.39556503,23,3,16
0.57879176,207.21592094,229.0897353,6.4,5.6,0.44528198,1.0032873,1.4582148,1.8321514,2.1493773,2.4226894,2.6580524,2.8622465,23,6,34
0.35803303,229.30723572,122.70847321,6.17066479,6.04650116,0.5844698,1.731462,2.7827754,3.54610109,4.00295401,4.24557638,4.39861631,4.51885271,23,4,22
0.94466189,276.02423686,101.79386974,6.5,5.4,0.35027218,0.4761634,0.71454,0.91620255,1.1092696,1.291482,1.4678965,1.6361642,23,6,28
0.30933156,194.37529989,285.43222451,6.8,5.8,0.56833124,1.8212371,3.0322676,3.9816256,4.5620832,4.7850437,4.8572893,4.905821,23,7,40
0.92467397,14.7851429,326.7222628,6.3,5.5,0.6924057,2.2360635,3.6957994,4.7540574,5.3537126,5.6269126,5.763697,5.8461137,23,7,36
