n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,source_pool,source,split,gid,length_bin,sub_id
0.38827757,120.4185714,145.79183723,4.0,6.3,0.66682243,1.8433628,2.8407316,3.4100618,3.6682816,3.8070812,3.9059258,3.9870787,v6_1_val,orig_train,train,14,1,6
0.99499232,251.97662354,116.1206665,4.54430199,6.86809063,0.3304925,0.45461559,0.67847538,0.86945629,1.0598917,1.23832798,1.41206074,1.57756901,v6_1_train,orig_val,val,14,0,2
0.94622783,142.06606064,70.10589238,4.0,6.3,0.3892765,0.68868256,0.97426224,1.2402554,1.482974,1.7042751,1.905652,2.0884256,v6_1_val,orig_train,train,14,0,1
0.75093574,111.70724371,49.77309603,4.7,6.5,0.5491843,1.2880712,1.9127054,2.400918,2.782506,3.0890722,3.3436003,3.562971,v6_1_train,orig_train,train,14,1,5
0.31191394,20.49907361,37.70607652,4.52486757,6.61046612,1.26390171,4.43634224,7.9856739,11.40233898,13.86105824,15.29981327,15.73456669,15.74401379,v6_1_train,orig_train,train,14,2,12
0.31093764,13.61135483,33.63256073,4.02110291,6.37895393,1.30945539,4.50921059,8.17859268,11.6810112,14.52444172,16.85819244,18.02476883,18.15059662,v6_1_train,orig_train,train,14,3,15
0.36446868,208.39195263,308.8903458,4.0,6.6,0.44690657,0.8914223,1.1949363,1.3798623,1.5074544,1.608932,1.6951194,1.7689757,v6_1_val,orig_train,val,14,0,3
0.73704162,35.19040502,392.22321267,4.6,6.5,0.5897727,1.5411243,2.36242,2.8803778,3.1381264,3.2592888,3.3297138,3.3820887,v6_1_train,,,14,1,6
0.6956,54.967363,128.625381,4.5,7.0,0.69685411,2.22505903,3.71021366,4.79458904,5.40018368,5.69809151,5.86519051,5.98514175,v6_1_val,orig_train,train,14,1,7
0.62328761,23.63086956,92.35227211,4.5,6.7,0.96807194,3.089755,4.983344,6.237054,6.8558903,7.16722,7.3675756,7.505189,v6_1_train,orig_train,train,14,2,14
0.99501938,77.10463715,7.90937948,4.19652367,6.5412159,0.51526833,1.21413612,1.81999063,2.33704996,2.77414703,3.14534855,3.46695566,3.74940634,v6_1_val,orig_val,train,14,1,5
0.51472843,101.76191626,242.4284078,4.1,6.1,0.56681967,1.4088383,2.1022782,2.5220609,2.7497582,2.8963828,3.0080981,3.1034036,v6_1_train,,,14,1,6
0.75878105,151.59355162,19.23868268,4.76612639,6.19319188,0.48990488,1.13014555,1.67612839,2.13979721,2.53229237,2.86603212,3.15913391,3.42242956,v6_1_train,,,14,1,5
0.43078309,125.66437368,95.75024209,4.1,6.3,0.6691661,1.8486795,2.8484745,3.4397898,3.745841,3.9318857,4.067013,4.179412,v6_1_train,orig_train,train,14,1,6
