frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.47288614725085676,5.3,5.772886147250857,5.772886147250857,-1.1143626970645637
2,config_02.png,1.1169258718580968,5.3,6.416925871858097,6.416925871858097,-0.14184191052774298
3,config_03.png,1.691627763413444,5.3,6.991627763413444,6.991627763413444,0.38007359443025523
4,config_04.png,2.1164182037272057,5.3,7.416418203727206,7.416418203727206,0.9202855287242628
5,config_05.png,2.472618868854035,5.3,7.772618868854035,7.772618868854035,0.34776655411680735
6,config_06.png,2.7267766299286142,5.3,8.026776629928614,8.026776629928614,0.6387755363469111
7,config_07.png,2.927229326260005,5.3,8.227229326260005,8.227229326260005,0.7827124673048413
8,config_08.png,3.1258792667722837,5.3,8.425879266772283,8.425879266772283,0.9253549126079619
