n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,gid,basin_k,sub_id
0.63377618,178.93771536,199.92073098,4.2,4.9,0.41223764,0.7722597,1.0602956,1.3086176,1.5222788,1.7084761,1.8702712,2.0123997,12,3,19
0.31943856,193.27831869,230.07785249,4.9,4.5,0.56153345,1.501914,2.3134003,2.8130884,3.039497,3.1414623,3.2156076,3.2839265,12,4,26
0.43154061,118.43145365,100.4491549,4.3,4.4,0.6739845,1.9088774,2.9564743,3.5602536,3.837729,3.99118,4.0999045,4.1909604,12,0,1
0.82363572,239.79666313,157.88604981,4.86415798,4.27353762,0.32883406,0.48048258,0.65793848,0.82181168,0.9828763,1.1310668,1.27083492,1.40327358,12,3,15
0.31928436,241.16495959,137.48960301,4.21063622,4.87399289,0.54413605,1.41582489,2.15276051,2.60512495,2.83609915,2.97196054,3.07785749,3.16922712,12,0,1
0.52743148,145.07617612,261.48381668,4.0,4.7,0.4560933,0.948977,1.3161721,1.5732694,1.7643895,1.9159923,2.0396523,2.1456323,12,7,45
0.86210942,179.83209229,92.8171463,4.32049942,4.4164257,0.36605835,0.61766434,0.87094069,1.10358477,1.31893587,1.51672602,1.6984477,1.86564589,12,3,15
0.95175711,30.55097158,265.64964644,4.9,4.8,0.5926361,1.5475435,2.3544536,2.9095097,3.2761483,3.5400014,3.7319818,3.8800826,12,7,42
0.55273228,9.9985815,0.0541862,4.5,5.0,1.31886196,4.38786125,7.47568607,9.89771652,11.3190546,11.89086246,12.13829517,12.33900547,12,2,10
0.58983208,210.28831508,18.27647466,4.5322983,4.89507934,0.47807884,1.04211378,1.50628233,1.88458824,2.19427538,2.45400476,2.67470789,2.86544704,12,7,46
0.35828042,268.45779419,4.17883396,4.14357233,4.31181622,0.53341484,1.29796839,1.91196012,2.29778481,2.53905058,2.71581888,2.86034489,2.98485851,12,7,44
0.84166199,196.53565362,52.51135085,4.9,4.9,0.39613438,0.68641996,0.97633696,1.245233,1.4915309,1.7181363,1.9255571,2.1163912,12,3,15
0.5219179,205.96012612,176.66862395,4.78677608,4.17635596,0.43235064,0.85258293,1.17370081,1.43091631,1.64209652,1.81936407,1.97143888,2.10426807,12,7,43
0.37297935,163.51357484,197.81754498,4.68635628,4.91059674,0.59252787,1.6239481,2.52869129,3.09705353,3.36686087,3.49933004,3.59389353,3.6753335,12,0,1
0.9747268,192.4520874,388.49441528,4.74950457,4.07543087,0.28068542,0.34922361,0.45857143,0.54762602,0.65000963,0.73998976,0.8253355,0.90694046,12,3,17
0.85766898,118.6979458,177.18973938,4.1,4.0,0.38824177,0.72198105,1.0143065,1.2749162,1.5040665,1.7064261,1.8841333,2.0419707,12,3,19
0.8781495,48.3021827,312.2431553,4.0,4.2,0.47514963,1.0434742,1.4910226,1.8120508,2.0422277,2.2166128,2.3535538,2.465581,12,7,42
0.41028764,6.69003483,75.37034731,4.98066137,4.8732198,1.24961948,4.24547291,7.44994164,10.19954586,11.94406414,12.56506443,12.61970043,12.63380146,12,2,9
0.51742568,33.20808327,157.29453123,4.3,4.0,0.8559723,2.648304,4.2714896,5.2976136,5.7063603,5.830746,5.876739,5.900039,12,5,31
0.34938437,111.56697649,241.54797309,4.51209389,4.93476576,0.66554976,1.98807764,3.20293665,3.9828949,4.29080868,4.36716652,4.40022278,4.42959404,12,4,26
0.59439616,110.34510263,201.39540071,4.8,4.2,0.53524256,1.3297405,1.989656,2.4332461,2.7211251,2.9278836,3.0899458,3.226983,12,7,48
0.68799279,207.34897473,308.45120284,4.2,4.7,0.3371873,0.5112419,0.66729164,0.8140888,0.9506607,1.075036,1.1894708,1.2960267,12,3,17
0.67418955,28.77171258,385.22719291,4.0,4.8,0.59360313,1.5442648,2.3242626,2.7427115,2.8737483,2.895976,2.9035435,2.9116445,12,4,25
0.47724211,86.90886688,339.3772583,4.64961433,4.5198617,0.56798267,1.48140907,2.25469589,2.71064663,2.90335989,2.98531437,3.04142284,3.09146786,12,4,24
0.33504364,39.35053973,37.641137,4.40842755,4.20015442,1.12503099,3.59997129,5.99213076,7.72756815,8.54586029,8.784235,8.89024162,8.95002937,12,5,29
0.80298436,297.5779827,14.53256652,4.5,4.4,0.3279376,0.4807377,0.6740236,0.8491578,1.0224543,1.1831031,1.3349919,1.4791646,12,3,20
0.61941993,7.17484856,29.28451347,4.04866886,4.15756321,1.24917316,3.97624969,6.60153961,8.4891777,9.44403362,9.79058743,9.9660368,10.12249947,12,5,29
0.39695219,90.52478752,325.6595566,4.3,4.7,0.5992923,1.6041007,2.4552035,2.9300184,3.0824504,3.1205645,3.1478448,3.1737638,12,4,24
0.99991129,94.17564749,142.40082178,4.0429487,4.15233113,0.3967433,0.74590111,1.06315899,1.34772778,1.59940386,1.82325506,2.02057219,2.19608593,12,3,18
0.30113083,91.29057104,318.90118071,4.1,4.4,0.63336897,1.7608705,2.729848,3.25562,3.3534303,3.3551168,3.3596807,3.3640018,12,4,28
0.76821961,85.91582583,9.65899068,4.1,4.0,0.5658879,1.3597994,1.994132,2.4482265,2.7834506,3.0473619,3.265501,3.4499002,12,7,47
0.78853594,213.76844239,253.25129734,4.63531788,4.14116963,0.31987143,0.46619987,0.6247716,0.77040768,0.91188669,1.04209709,1.16431284,1.27876043,12,3,17
0.37252348,192.97142685,205.31138854,4.1,4.6,0.5078249,1.1806941,1.6989813,2.0055113,2.1817021,2.3063245,2.4079595,2.4933023,12,7,43
0.70360664,203.93602304,292.79083411,4.3,4.7,0.34269047,0.5276575,0.695261,0.853364,0.99897575,1.1324186,1.2550368,1.3685775,12,3,17
0.64581355,108.41608687,115.0441739,4.1157567,4.52633575,0.54584074,1.33690357,1.98477602,2.43130541,2.7429862,2.97840977,3.16869164,3.33037615,12,7,48
0.74650114,285.00907735,396.50751565,4.0,4.7,0.2598853,0.2992854,0.3810625,0.43247652,0.5056739,0.5684953,0.62756824,0.6842413,12,1,-1
0.81108284,277.15325928,1.33166122,4.5362196,4.6056385,0.34625673,0.52800369,0.74454451,0.94277382,1.13471079,1.31253004,1.48002625,1.63811207,12,3,20
0.5074049,112.44053692,100.39440942,4.76669723,4.44669582,0.64321899,1.76002312,2.70239782,3.27445555,3.58281755,3.7808156,3.92762899,4.05092287,12,0,1
0.30642342,213.43729783,99.08657065,4.6,4.9,0.6224127,1.7279897,2.6941404,3.2771578,3.5351028,3.663498,3.758029,3.8393831,12,0,1
