n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,split,gid,length_bin,sub_id
0.3,5.708504635646843,41.03337663082348,2.29335241,4.71981213,1.1599936485290527,3.953293561935425,7.345904350280762,10.606695175170898,12.944291114807127,13.714786529541016,13.715015411376951,13.715060234069824,train,2,3,18
0.58943187,197.35047241,393.40092797,2.97663924,4.69461284,0.27781701,0.44794607,0.58414888,0.70979071,0.82530761,0.93136239,1.0280242,1.11661339,train,2,1,8
0.7710916,59.21728128,351.99929059,2.5,4.2,0.29355526,0.51698685,0.65622044,0.7597928,0.8410239,0.9064021,0.9595032,1.0037627,train,2,1,9
0.38464023,161.52367504,235.31495592,2.9,4.9,0.39589024,0.79083824,1.0391226,1.182301,1.2821026,1.3638549,1.4323626,1.4908729,train,2,1,9
0.34925092,228.44714679,332.11414963,2.5,4.2,0.22146511,0.28454638,0.33310795,0.36733866,0.3948598,0.42085314,0.44697428,0.46911383,train,2,0,2
0.37626648,76.97100067,386.77944946,2.01615119,4.39785385,0.40481639,1.12702346,1.71467853,1.99346924,2.04633427,2.05969048,2.07278585,2.08454847,train,2,1,5
0.97524223,182.88656294,262.59772959,2.0,4.5,0.1165576,0.15420723,0.20502901,0.25610352,0.29624987,0.33385944,0.37234068,0.40994787,train,2,0,4
0.31305624,256.15433215,12.17734255,2.32382264,4.76213194,0.46164823,1.27191353,1.94441509,2.32091093,2.51501703,2.6459775,2.7515254,2.84156513,train,2,2,14
0.58340445,146.05354039,247.91474411,2.4,4.8,0.24260712,0.39643097,0.51026344,0.6049032,0.6872916,0.75977945,0.8253279,0.8831439,train,2,1,8
0.61315834,80.15050082,19.05122286,2.7,4.7,0.560133,1.3693137,1.9662762,2.3326573,2.5797405,2.7714825,2.9278164,3.0628948,train,2,2,11
0.61695149,15.36359554,10.22097069,2.3,4.0,0.94893646,2.6043687,3.7373471,4.3405614,4.709377,4.989451,5.195068,5.356108,train,2,2,14
0.5982987307923741,4.604926050019121,12.443388818566534,2.5,4.0,1.2000739574432373,3.9323983192443848,6.86888313293457,9.02663516998291,10.07569980621338,10.403300285339355,10.469292640686035,10.498540878295898,train,2,3,16
0.52291831,296.07305024,270.70909792,2.07697176,4.13695413,0.16804767,0.24590468,0.33184958,0.41143775,0.48492312,0.55430508,0.62029052,0.68277526,train,2,1,8
0.3819799647693154,8.512083386547987,6.834622500285766,2.86208737,4.56765112,1.2716305255889893,4.30295467376709,7.807037353515625,10.905290603637695,12.850226402282717,13.377848625183104,13.381604194641112,13.384785652160645,train,2,3,15
0.54286556,2.42164403,16.23748293,2.82497477,4.53470985,1.2866776,4.36648655,7.94341087,11.10943317,13.14840889,13.68185711,13.68348598,124.89597878,train,2,3,17
0.9195656067226378,63.09923871243414,344.0272040244278,2.9,4.2,0.3544518947601318,0.71061110496521,0.9986648559570312,1.2381329536437988,1.4359607696533203,1.6021881103515625,1.7423343658447266,1.862194538116455,train,2,1,7
0.38732437,274.91099942,175.83488843,2.8,4.4,0.2767663,0.4387412,0.5505748,0.649528,0.7339978,0.81038666,0.87911844,0.9417114,train,2,1,8
0.79705225,156.73507783,94.38528862,2.68513067,4.49872175,0.31405544,0.59369922,0.85351729,1.08930159,1.30158496,1.49213433,1.66366076,1.81832576,train,2,1,6
0.79082775,53.97106462,305.85440372,2.5,4.3,0.32485104,0.6181593,0.8140335,0.954936,1.0615935,1.1449633,1.2122941,1.2683187,train,2,1,7
0.95619569,200.58207288,144.66227722,2.19646326,4.76760476,0.1777513,0.29551673,0.42352128,0.55206108,0.67374325,0.79178691,0.90553403,1.01476622,train,2,1,6
0.3837604463029703,135.76063546208172,294.341567671162,2.2,4.8,0.3920397758483886,1.0522723197937012,1.5975370407104492,1.9110641479492188,2.063911437988281,2.1593680381774902,2.234753131866455,2.2991442680358887,train,2,1,5
0.91952785,64.27270851,35.01022526,2.3,5.0,0.35385275,0.7565708,1.0919075,1.3673916,1.5927334,1.7811985,1.9413357,2.0814638,train,2,1,7
0.30410584,241.18756633,127.41985247,2.39067913,4.74632619,0.42461038,1.12096357,1.69084096,2.01806855,2.18632436,2.29805207,2.39034915,2.46828008,train,2,1,5
0.45705162,210.53754464,236.48089714,2.1,4.5,0.17643261,0.23329401,0.29385424,0.34175348,0.38233328,0.42010784,0.4549632,0.48736238,train,2,0,2
0.35373648,43.59577119,42.3765853,2.1,5.0,0.796824,2.1759448,3.1129932,3.5602694,3.7995453,3.9613447,4.063447,4.1311646,train,2,2,10
0.79317677,132.24554342,194.56642754,2.68931862,4.69755365,0.31796956,0.61443377,0.87747312,1.11343527,1.32248902,1.50819468,1.67280316,1.81979108,train,2,1,7
0.3763995882176197,2.570882629397518,9.729662534350606,2.9890996,5.0,1.336599349975586,4.65647029876709,8.67285442352295,12.484960556030272,15.304191589355469,15.416032791137695,15.418785095214844,15.421337127685549,train,2,3,18
0.30478411,26.71137982,10.43122148,2.19332577,4.90236151,1.11797094,3.6537385,6.52271509,9.03400803,10.49141502,10.83488846,10.83855247,10.83961296,train,2,3,15
0.72229763,249.52438835,43.05986925,2.3,4.6,0.17918205,0.2916689,0.41036034,0.51528406,0.6145711,0.70871735,0.79633045,0.87943506,train,2,1,6
0.47647455,240.76614235,76.72313746,2.1,4.7,0.20975018,0.33824158,0.4520278,0.54966736,0.6371932,0.71681213,0.7888055,0.85606146,train,2,1,6
0.4112903578781702,12.697115106347718,0.2090587594059298,2.99,4.0,1.2358012199401855,4.0734171867370605,7.124356269836426,9.470149040222168,10.62720012664795,10.92485809326172,10.967592239379885,11.000482559204102,train,2,3,16
0.40115008,174.65970955,41.14757151,2.77594242,4.87125789,0.55152893,1.55949831,2.41284847,2.90370178,3.14715385,3.30158949,3.42229128,3.52734089,train,2,2,14
