n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,gid,basin_k,sub_id
0.70269484,65.12723941,189.324169,3.1,2.4,0.41242504,0.92907214,1.2943938,1.5318096,1.697952,1.8255179,1.9302084,2.0172045,5,2,12
0.75907258,65.22151049,117.8800564,3.8,2.8,0.4967625,1.2043025,1.7389803,2.0940685,2.3463798,2.5403066,2.6971202,2.829022,5,2,16
0.71673035,143.03250861,230.12506628,3.2,2.4,0.24483466,0.4216287,0.5782323,0.71718097,0.83985424,0.9502425,1.0491674,1.1384339,5,4,25
0.94278271,243.34046445,290.91013531,3.3,2.7,0.16058016,0.2103808,0.2761886,0.34938598,0.4138527,0.47501612,0.53487825,0.59235024,5,4,24
0.46193905,166.45437973,187.78488575,3.3,2.2,0.32405663,0.64962935,0.8774133,1.0459092,1.1777153,1.2855241,1.3746364,1.4523144,5,2,12
0.80103924,75.86201457,113.5950838,3.88708181,2.68080901,0.38319278,0.80404019,1.1350491,1.39222598,1.59656882,1.76365018,1.90227723,2.0224297,5,3,18
0.73920649,101.20967102,68.37703705,3.30596638,2.60652614,0.35665202,0.72732282,1.02124429,1.25907445,1.45299649,1.61572242,1.75329614,1.87253881,5,3,18
0.52417879,128.66999887,370.70109617,3.4,2.2,0.26387334,0.45611,0.58322144,0.6871097,0.7751806,0.8492408,0.91351867,0.9683218,5,3,20
0.92606175,201.64309692,382.67504883,3.01575756,2.73703718,0.16260147,0.17119169,0.21120906,0.26383734,0.30416846,0.34291196,0.38015509,0.41551328,5,0,6
0.56063926,241.71220398,108.25112915,3.40075302,2.0420754,0.16421556,0.24584246,0.32843113,0.40118766,0.46983171,0.53290629,0.59139156,0.64605141,5,4,25
0.52706028,278.33193608,329.24272876,3.9,2.4,0.18819237,0.25897574,0.3410604,0.41289234,0.47880745,0.541306,0.5999882,0.6554427,5,4,30
0.31215348,11.88496603,119.20519806,3.26026975,2.40305492,0.90998435,2.63877797,4.05483627,4.7214632,4.89038372,4.93756676,4.93950081,4.93951893,5,5,35
0.53776288,101.20530054,30.60737038,3.1,2.2,0.4987147,1.2490594,1.7498245,2.0267992,2.207152,2.3477263,2.4658518,2.563705,5,2,16
0.63269929,237.6742985,19.03037869,3.2,2.6,0.26139522,0.458987,0.643404,0.8100054,0.9605582,1.098649,1.2234199,1.3381314,5,4,27
0.48489203,85.82013651,382.92404283,3.5,2.6,0.38180923,0.8117888,1.0858982,1.2232525,1.3022094,1.3606708,1.4096563,1.4492977,5,2,12
0.76321763,154.70305004,278.79239382,3.98497924,2.28272754,0.16805172,0.23730516,0.31410599,0.37858105,0.43616438,0.4902401,0.53939199,0.58556271,5,0,1
0.33599914,200.44414678,215.18767756,3.0,2.2,0.3101127,0.57983994,0.74226546,0.8525615,0.9385059,1.0095253,1.0693061,1.1218319,5,2,15
0.89825785,77.7759304,197.40274634,3.0,2.5,0.29307675,0.55633354,0.77816224,0.9676502,1.130053,1.2699404,1.3905759,1.4958749,5,3,23
0.67033103,54.49872438,329.62072687,3.0,2.9,0.39012837,0.81654716,1.0958977,1.2536082,1.3529902,1.4240036,1.4813538,1.527525,5,2,12
0.59978914,102.65911079,252.50459923,3.4,2.2,0.33340716,0.6907966,0.94766235,1.1344929,1.2782962,1.3919599,1.4850686,1.5656834,5,2,12
0.50896821,226.67521911,388.99451453,3.7,2.8,0.23394465,0.3235531,0.40718007,0.48046112,0.54558206,0.60616946,0.6627121,0.7146311,5,3,17
0.69419038,8.95560956,149.7730139,3.03203229,2.9987472,0.83993506,2.44221139,3.70597959,4.32295895,4.51995468,4.56644154,4.56914806,4.57038212,5,5,31
0.64682388,5.51917028,95.04067993,3.03000212,2.11163402,0.85667872,2.38260484,3.44044375,3.90215373,4.08587742,4.17508888,4.19319916,4.19389153,5,5,31
0.62634741,221.27546295,175.27206532,3.9,2.5,0.25361657,0.4298072,0.5966332,0.7460239,0.88225436,1.0068729,1.1209137,1.2252133,5,4,25
0.91973859,168.97935486,348.7303772,3.26035953,2.1660881,0.1174829,0.1528759,0.18887568,0.21616125,0.24993563,0.27714944,0.3039875,0.33009672,5,0,6
0.6589343,69.97982112,166.31241459,3.21823249,2.8897288,0.45980978,1.04917049,1.47121572,1.73028994,1.90240526,2.03521156,2.14026594,2.2274003,5,2,10
0.75420642,10.39672565,34.62146759,3.41516471,2.02104664,0.82088709,2.15094566,2.99525547,3.45846891,3.74604702,3.94880581,4.08636236,4.18942165,5,5,31
0.62022182,60.22799739,361.98944862,3.4,2.9,0.41588807,0.9091079,1.2460117,1.4243088,1.5258589,1.5990891,1.6552048,1.7018547,5,2,12
0.74449917,117.11224035,286.28623571,3.8,2.1,0.24040174,0.43520308,0.6055689,0.75697327,0.8913443,1.0113289,1.1173043,1.2121439,5,4,25
0.93044673,35.19115522,47.88527797,3.3,2.4,0.5223124,1.2749448,1.8132322,2.1736987,2.436413,2.642419,2.8112543,2.955716,5,2,16
0.84477612,297.98954813,166.18203524,3.4,2.6,0.154037,0.23162794,0.30882978,0.39557862,0.47313094,0.5472567,0.61933255,0.68923783,5,4,28
0.94448734,91.80173293,173.99542365,3.7,2.9,0.32875466,0.62124825,0.88488317,1.1167965,1.320427,1.4999046,1.6579509,1.7980027,5,4,25
0.83851102,221.52190633,358.22934438,3.7,2.5,0.16153383,0.22111201,0.29727578,0.37048054,0.4356668,0.49897933,0.5594387,0.616796,5,4,30
0.36788009,84.62291949,280.94834881,3.0,2.8,0.47799444,1.1539145,1.5902004,1.7229533,1.7513609,1.7755737,1.7974253,1.8176084,5,7,43
0.85465152,50.25222961,99.60630547,3.51485076,2.93102996,0.47940254,1.09559059,1.56429958,1.89007235,2.1280427,2.31540823,2.46992207,2.6005187,5,2,16
0.89468165,29.77500237,91.63499891,3.7,2.4,0.5676954,1.4993229,2.1667478,2.5661147,2.828334,3.024522,3.1807063,3.3120577,5,2,13
0.34805167,41.62871479,63.44475212,3.2,2.8,0.930681,2.8146539,4.433795,5.3221636,5.573759,5.632166,5.6516542,5.66378,5,5,35
0.61533393,228.60403551,350.07873043,3.8,2.6,0.20463967,0.28567457,0.37838793,0.4591124,0.5328877,0.6025901,0.6679399,0.7295089,5,4,30
0.46176888,155.57812094,360.18017706,3.8,2.3,0.28159428,0.5137961,0.6660397,0.7848084,0.88390326,0.9679909,1.0395181,1.103137,5,3,20
0.35914939,241.13550578,245.51455198,3.53312146,2.9308547,0.29598188,0.46811342,0.5732584,0.6605587,0.73476505,0.80065298,0.85984039,0.91189718,5,3,17
0.74539649,19.13804484,348.85855047,3.3,2.5,0.50080943,1.2852528,1.8362632,2.039206,2.056508,2.0573235,2.0576854,2.0580316,5,7,46
0.31873782,260.19263302,16.50861177,3.9,2.8,0.48039293,1.1912403,1.7211475,2.0149088,2.185955,2.3165073,2.4236674,2.5155964,5,2,14
0.38376271,212.70678674,278.11946341,3.1,2.6,0.27829146,0.45209146,0.561635,0.6532166,0.73118997,0.7998667,0.85881734,0.9127226,5,3,17
0.3454945,193.34531838,107.98155058,3.1,2.3,0.401304,0.9037585,1.2306297,1.4068935,1.5257721,1.6214538,1.6991482,1.7645361,5,2,15
