frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,1.4601242425669014,6.7,8.160124242566901,8.160124242566901,1.1442304585710827
2,config_02.png,2.840742839804697,6.7,9.540742839804697,9.540742839804697,0.609932936612273
3,config_03.png,4.084306216363485,6.7,10.784306216363486,10.784306216363486,1.1270055288873233
4,config_04.png,4.898827633862554,6.7,11.598827633862555,11.598827633862555,1.087221090340687
5,config_05.png,5.338075040378968,6.7,12.038075040378967,12.038075040378967,1.1187758862600206
6,config_06.png,5.562903894180579,6.7,12.26290389418058,12.26290389418058,1.0828756955824055
7,config_07.png,5.702555722781547,6.7,12.402555722781546,12.402555722781546,1.1507299778962117
8,config_08.png,5.821394390794604,6.7,12.521394390794605,12.521394390794605,1.3882749285209994
