frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.2399012255862705,5.9,6.139901225586271,6.139901225586271,3.9096707620336484
2,config_02.png,0.44208544473179834,5.9,6.342085444731799,6.342085444731799,1.7739141569118404
3,config_03.png,0.5962702533247051,5.9,6.496270253324705,6.496270253324705,1.8044033161459805
4,config_04.png,0.7272996022065388,5.9,6.62729960220654,6.62729960220654,1.338819906169214
5,config_05.png,0.8446397371642815,5.9,6.744639737164282,6.744639737164282,1.3713414086374942
6,config_06.png,0.9345761340037139,5.9,6.834576134003714,6.834576134003714,1.6890134000965396
7,config_07.png,1.0260988360872587,5.9,6.9260988360872595,6.9260988360872595,1.5802350766766893
8,config_08.png,1.1027095946582224,5.9,7.0027095946582225,7.0027095946582225,1.577970250245475
