n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,gid,basin_k,sub_id
0.52688421,115.55119446,53.31160442,3.9,6.7,0.6400938,1.6729193,2.5244846,3.0567627,3.3812876,3.612895,3.7923174,3.9462395,9,2,18
0.43031235,43.05859178,326.02149664,3.1,6.7,0.58676004,1.5051422,2.2012587,2.4677668,2.487609,2.48942,2.4913464,2.493515,9,5,25
0.35586902,285.307995,170.53496482,3.4617649,6.07815654,0.43176007,1.05519223,1.59216666,1.98023582,2.2491138,2.44895053,2.60747886,2.74112201,9,2,17
0.80615933,53.47376996,279.59711872,3.5,6.9,0.4804659,1.0484447,1.4948673,1.8048115,2.0187817,2.1795874,2.3066359,2.411806,9,2,15
0.93224588,252.07306145,80.49358152,3.4,6.3,0.2647648,0.3873706,0.53837156,0.6709695,0.8088708,0.9372926,1.059032,1.1756482,9,0,2
0.6032866,163.54028916,249.24080417,3.52161697,7.0,0.40993595,0.95962667,1.44619131,1.85037279,2.18077993,2.45567274,2.68579578,2.88151121,9,0,6
0.76099264,150.84781223,230.79054524,3.8,6.1,0.37017488,0.6410794,0.8677583,1.0739579,1.2570591,1.4212756,1.5679879,1.6997309,9,0,0
0.84876827,16.39073685,141.32343401,3.6456492,6.58608615,0.81203985,2.63883114,4.4408493,5.71997833,6.36613178,6.6277771,6.74513531,6.81267548,9,7,44
0.60244358,75.4651425,396.08620265,3.70531498,6.24360335,0.49815249,1.3607533,2.15896583,2.7256248,3.06531501,3.25900054,3.38108373,3.4750669,9,2,15
0.30077055,41.76815529,108.16353075,3.66781889,6.61710639,1.02582645,3.52361917,6.25879478,8.77230835,10.46570778,11.1305933,11.18410969,11.18712139,9,1,12
0.32415137,165.0076752,166.6299775,3.8,6.1,0.5954261,1.5375342,2.3072877,2.7176213,2.8877254,2.9818625,3.0570064,3.1232734,9,2,14
0.32744827,254.32338739,383.44354235,3.6,6.9,0.35172033,0.5475583,0.6367836,0.71076345,0.7703748,0.81955147,0.8644247,0.9063897,9,2,17
0.43954524,20.74749581,18.3277819,3.1,6.9,1.146985,3.4594784,5.465577,6.6770554,7.1988916,7.5574074,7.9326124,8.258554,9,7,40
0.60108708,61.00197966,178.28434497,3.3,6.5,0.59592724,1.5109806,2.2261457,2.6277046,2.852271,3.0015926,3.1187506,3.2158985,9,2,19
0.30265714,7.23623386,65.06475136,3.2731318,6.4489017,1.24882102,4.21898174,7.6842308,11.31327248,14.27118206,16.65397453,18.24962616,18.48007202,9,4,23
0.99854159,13.11697483,24.55514717,3.59767962,6.77852535,0.86460996,2.7112596,4.45243073,5.62829781,6.24240017,6.5579071,6.74861908,6.8855629,9,7,39
0.37554531,53.0929204,160.088277,3.50139607,6.98059513,0.85661626,2.95826077,5.24641228,7.23554897,8.4527874,8.83757019,8.8526392,8.85546112,9,1,9
0.57517028,209.04928589,173.57879639,3.66650963,6.83380318,0.40692806,0.91318989,1.35141182,1.72457981,2.04072285,2.31145048,2.54501915,2.74774885,9,0,6
0.33465672,113.98417751,351.17799861,3.3,6.4,0.4801669,1.066915,1.4622483,1.6125178,1.6566615,1.6881661,1.7159696,1.7411027,9,2,14
0.82356462,120.01424994,214.15051308,3.73634969,6.88303116,0.40948844,0.88815045,1.31355262,1.69396186,2.027879,2.32101607,2.57722592,2.80353904,9,0,6
0.63540766,131.17991653,242.25725039,3.0,6.1,0.33581638,0.611454,0.81480074,0.98403454,1.1247039,1.243918,1.3463984,1.4359598,9,2,15
0.89835874,170.10956865,198.67358479,3.0,6.5,0.24169159,0.3760457,0.52014256,0.6494808,0.7724862,0.8852544,0.99007845,1.0887918,9,0,1
