frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.25070431103098656,3.2,3.4507043110309867,3.4507043110309867,1.0727807545396262
2,config_02.png,1.1539650268812256,3.2,4.353965026881226,4.353965026881226,1.5438380251002055
3,config_03.png,1.6604968353962455,3.2,4.860496835396246,4.860496835396246,1.4386465329529197
4,config_04.png,1.8275291779903489,3.2,5.027529177990349,5.027529177990349,1.5814662001849138
5,config_05.png,1.9104433417533846,3.2,5.110443341753385,5.110443341753385,1.7578535023177326
6,config_06.png,1.973247546510539,3.2,5.173247546510539,5.173247546510539,1.6878342233198422
7,config_07.png,2.039022801218952,3.2,5.239022801218953,5.239022801218953,1.6528217704139536
8,config_08.png,2.0891590917759086,3.2,5.289159091775908,5.289159091775908,1.8631838759069845
