frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,2.0912073224969663,4.2,6.291207322496967,6.291207322496967,-3.1274485707318944
2,config_02.png,2.970063464522623,4.2,7.170063464522623,7.170063464522623,0.9544534358171458
3,config_03.png,4.887178826681617,4.2,9.087178826681617,9.087178826681617,2.802064489763059
4,config_04.png,6.457943714427183,4.2,10.657943714427184,10.657943714427184,3.178246118486472
5,config_05.png,7.509391325399722,4.2,11.709391325399723,11.709391325399723,3.571011598674137
6,config_06.png,8.595800029040493,4.2,12.795800029040494,12.795800029040494,2.0700543094524404
7,config_07.png,9.702381962372675,4.2,13.902381962372676,13.902381962372676,2.8351212228892084
8,config_08.png,10.556156535533228,4.2,14.75615653553323,14.75615653553323,2.404181669795852
