n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,split,gid,length_bin,sub_id
0.329301279366436,9.75331874411157,0.0368290172102665,3.9945607,6.9578692,1.3521490097045898,4.862931728363037,9.043773651123049,12.9097900390625,15.89113998413086,16.85172462463379,16.855443954467773,16.858585357666016,train,9,3,17
0.78005892,19.5634079,16.31002235,3.9187026,6.93690777,0.96320224,3.18108344,5.38137722,7.02779388,7.86986923,8.18966293,8.34017849,8.43477535,train,9,2,11
0.3856795048216419,12.013841152980724,0.0197840025022936,3.34714821,6.81967394,1.2931640148162842,4.496582984924316,8.184149742126465,11.810539245605469,14.72791862487793,16.282806396484375,16.594406127929688,16.601350784301758,train,9,3,16
0.58560964,238.30227777,161.25806381,3.14326209,6.91976693,0.3423121,0.7078023,1.02841878,1.32148242,1.58499026,1.82222199,2.03356194,2.22343087,train,9,1,9
0.89369591,6.26085317,154.18900068,3.33896329,6.59992317,0.91546464,3.0406816,5.24787521,7.0092659,7.94557858,8.23946762,8.29869175,8.30895329,train,9,2,10
0.3127422073995423,17.569650922172414,26.22222060810783,3.50999391,6.77881571,1.2239346504211426,4.302791595458984,7.826789379119873,11.386320114135742,14.213153839111328,15.627471923828123,15.883905410766602,15.884920120239258,train,9,3,16
0.69639223,65.72147059,158.15050517,3.4,6.2,0.55488586,1.3290272,1.9440379,2.340036,2.6022,2.7948709,2.9488816,3.081325,train,9,1,8
0.31428301,51.49653561,188.77350717,3.4,6.5,0.8137131,2.3740711,3.7301226,4.5011606,4.783189,4.8755913,4.9109516,4.9252214,train,9,2,13
0.79484608,34.55809002,129.93419532,3.1,6.1,0.61653614,1.5679541,2.2926269,2.7282186,3.0058656,3.2127585,3.3746324,3.5125804,train,9,1,7
0.44648007,6.77507712,0.32635384,3.698597,6.9754724,1.39354444,4.75733662,8.62687206,12.35475254,15.95410442,19.25058174,20.73603249,21.25854492,train,9,3,15
0.78991592,43.974811,156.71512019,3.7,7.0,0.6210222,1.5803189,2.3582282,2.855967,3.1769814,3.4126096,3.5992618,3.7529778,train,9,1,8
