frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,1.413479102311977,5.5,6.913479102311977,6.913479102311977,1.9109280515550524
2,config_02.png,3.188602950026239,5.5,8.688602950026239,8.688602950026239,2.4027792688679135
3,config_03.png,4.650130913029819,5.5,10.150130913029818,10.150130913029818,1.5231286342430566
4,config_04.png,5.6875512723923,5.5,11.1875512723923,11.1875512723923,1.6697057208209798
5,config_05.png,6.270073287943164,5.5,11.770073287943166,11.770073287943166,1.8851812854135286
6,config_06.png,6.658608251333062,5.5,12.158608251333062,12.158608251333062,1.6716711790670524
7,config_07.png,6.86301455810818,5.5,12.36301455810818,12.36301455810818,1.6720849056247182
8,config_08.png,7.0008033178682645,5.5,12.500803317868264,12.500803317868264,1.8511260891614867
