n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,sub_id
0.45916642,93.23768,279.78751328,2.6,6.4,0.38990974,0.80267143,1.0551414,1.1805582,1.2572947,1.3167067,1.3636675,1.405323,3
0.64554579,190.35324792,355.23909183,2.9,6.7,0.22396183,0.30208635,0.38515282,0.4584756,0.52524805,0.581542,0.6316891,0.6792393,39
0.98609634,29.07948647,168.05255661,2.2,6.1,0.38058424,0.83170223,1.1727219,1.4138536,1.5900664,1.7279434,1.8396215,1.9322381,11
0.44796675,48.14137073,91.75579964,2.65183413,6.98581805,0.83194876,2.79557323,4.94284534,6.75890589,7.78665018,8.06376648,8.07841492,8.08725548,55
0.8234313336805016,12.012378414473693,0.0053274570368967,2.6628851717230178,6.781392969351414,0.9646165370941162,3.106678009033203,5.323867321014404,7.05242395401001,7.946680545806885,8.303289413452148,8.475299835205078,8.588357925415039,53
0.8475669175211137,2.074956543811465,0.0040785441071203,2.695329802606357,6.631042503823236,1.2489585876464844,4.113615989685059,7.265582084655762,10.224534034729004,12.145188331604004,12.984477043151855,13.331177711486816,13.48422908782959,15
0.8685713,147.02477571,236.5026349,2.9,6.3,0.24751091,0.393219,0.53811884,0.66710234,0.786561,0.89474726,0.99408627,1.0862184,14
0.3265011,219.4628586,389.97553454,2.9,6.4,0.2733755,0.3726058,0.42117357,0.4715886,0.50995874,0.5349026,0.5589175,0.5813451,44
0.93274397,280.61581421,147.09854126,2.74119854,6.58353615,0.20189524,0.29278445,0.42871261,0.55225945,0.6738317,0.79625344,0.9141798,1.02928591,14
0.89646698,137.55621251,165.75976715,2.9,6.3,0.27035522,0.46229887,0.6446204,0.8103981,0.9613619,1.0990262,1.2249775,1.3397899,24
0.93742508,19.47226143,12.11458588,2.91527128,6.54731846,0.78145218,2.37420273,3.85775805,4.8280797,5.3473258,5.6372695,5.83361483,5.97685671,7
0.47342561,82.12141896,235.06836419,2.8,6.4,0.47892666,1.1119905,1.5507207,1.7559075,1.8565803,1.9273934,1.9852271,2.0358949,36
0.75765582,146.822394,50.35824345,2.8,6.6,0.3214388,0.6181855,0.8747759,1.1018915,1.3007603,1.4760747,1.6308722,1.7686057,46
0.92412771,31.46365436,291.52816388,2.7,6.1,0.40181065,0.85376024,1.1828923,1.3968573,1.5399613,1.645206,1.724514,1.7865477,36
0.92663589,224.36426508,291.19180334,2.98548582,6.12912719,0.22848606,0.32650232,0.46801949,0.59632111,0.72309041,0.84630966,0.96439052,1.0784111,14
0.31782038,24.85751247,167.55437516,2.97669522,6.95561032,0.950109,3.24749422,5.86284924,8.34041309,10.09770393,10.86297607,10.91125202,10.9126606,29
0.59807262,122.96078614,119.44657718,2.22514944,6.64977568,0.39810443,1.04491854,1.66110539,2.13153648,2.47324038,2.73189211,2.93767452,3.10869455,33
0.974328307449825,8.801158220618083,2.2557750058131187,2.9514510847940407,6.146316437174746,0.9462769031524658,2.9812216758728027,4.934510707855225,6.250271797180176,6.904995918273926,7.242345809936523,7.450833320617676,7.603238105773926,53
