n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,gid,basin_k,sub_id
0.39103147,107.65912016,313.36032037,5.6,4.3,0.60370207,1.8039446,2.9339852,3.7061844,4.073018,4.1670694,4.20175,4.232812,17,4,29
0.30284756,296.71160889,112.586586,5.00220442,4.57342052,0.51492691,1.21668291,1.77721882,2.12829065,2.33884096,2.48681116,2.60821915,2.71225548,17,2,16
0.59263349,60.1660347,388.96069336,5.63997078,4.51457119,0.56229496,1.42606211,2.15265703,2.59494972,2.80565929,2.904562,2.96768379,3.01902008,17,4,30
0.32251333,138.62289691,32.89473763,5.8,4.5,0.81621456,2.7284007,4.6038485,5.977669,6.6496334,6.8442297,6.9068108,6.946661,17,0,5
0.74836497,193.08474299,98.0,5.8,4.39727377,0.4086771,0.73476696,1.02792978,1.29765654,1.53958416,1.75805283,1.9540019,2.13099957,17,3,18
0.64638972,194.47584534,43.83408356,5.22357035,4.34556198,0.45368862,0.91357899,1.29740715,1.6255908,1.90439463,2.14429379,2.35136223,2.53316355,17,5,38
0.33575388,33.11848023,90.3494168,5.1,4.7,1.0957747,3.6844468,6.3018117,8.426674,9.618391,9.992111,10.065298,10.089203,17,0,5
0.71280321,177.32002318,353.11927843,5.8,4.2,0.3640747,0.64254,0.88037395,1.1021109,1.3019242,1.4840612,1.6501894,1.8014297,17,3,21
0.30591647,240.02775271,384.43778614,5.6,4.0,0.43262005,1.0009823,1.4411144,1.7234268,1.8965883,2.0149002,2.110824,2.1929326,17,2,15
0.81500414,200.98287617,40.44669525,5.0,4.1,0.38083982,0.6698055,0.9541459,1.2157826,1.4564171,1.6770954,1.8789887,2.0639324,17,3,19
0.43075719,254.78982544,8.8305006,5.16979551,4.46463966,0.52109289,1.21154165,1.77338839,2.17221451,2.45864153,2.68235493,2.86572933,3.0221529,17,5,34
0.99339092,207.32203674,168.91889954,5.1539278,4.47315121,0.33088779,0.46535873,0.64609241,0.81329107,0.98098183,1.13318348,1.27892685,1.41775227,17,3,23
0.40330957,180.22777641,228.19615675,5.17061177,4.16829771,0.50596619,1.15634871,1.66283751,1.97538519,2.16356897,2.30017948,2.40946865,2.50303507,17,2,14
0.65616779,118.05414897,239.28045308,5.5,4.8,0.5020108,1.2022185,1.7893271,2.2324252,2.5642357,2.8216953,3.0289445,3.2033868,17,5,39
0.39251792,56.80663955,225.93164925,5.2,4.9,0.8014059,2.6100588,4.3472967,5.6100197,6.1875935,6.3371,6.3670053,6.379631,17,0,0
0.93957398,199.46748222,185.06020153,5.6,4.9,0.35844326,0.542387,0.7755866,0.9903455,1.1923151,1.3816867,1.5609555,1.7299314,17,3,23
