frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.5149951809037503,6.4,6.914995180903751,6.914995180903751,0.3224169244810282
2,config_02.png,0.8105043873945922,6.4,7.210504387394592,7.210504387394592,0.5096662566612842
3,config_03.png,0.9113359445259872,6.4,7.311335944525988,7.311335944525988,0.6933489479611227
4,config_04.png,0.9895525774832103,6.4,7.389552577483211,7.389552577483211,0.7665512440546862
5,config_05.png,1.0674241164093434,6.4,7.467424116409344,7.467424116409344,0.8394305695154203
6,config_06.png,1.1442953853334714,6.4,7.544295385333472,7.544295385333472,0.8760403523915938
7,config_07.png,1.2209948503497894,6.4,7.620994850349789,7.620994850349789,0.9125683140119162
8,config_08.png,1.2790457838833897,6.4,7.67904578388339,7.67904578388339,0.9846604817736082
