frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.6046680273889882,6.0,6.604668027388988,6.604668027388988,1.866030591677645
2,config_02.png,1.0348245118686483,6.0,7.034824511868648,7.034824511868648,1.9983109652874615
3,config_03.png,1.240048945322192,6.0,7.240048945322192,7.240048945322192,2.16305819894749
4,config_04.png,1.3507495943755137,6.0,7.350749594375514,7.350749594375514,2.1627442774969112
5,config_05.png,1.4247627492450246,6.0,7.4247627492450246,7.4247627492450246,2.2935772182845233
6,config_06.png,1.4988356308630157,6.0,7.498835630863016,7.498835630863016,1.4562482400499566
7,config_07.png,1.5552433712729143,6.0,7.555243371272915,7.555243371272915,1.5246753588422257
8,config_08.png,1.6111322633962977,6.0,7.611132263396297,7.611132263396297,1.6608303930120694
