frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.8789463439694035,2.9,3.7789463439694035,3.7789463439694035,2.134053562061472
2,config_02.png,2.4361624494558116,2.9,5.336162449455811,5.336162449455811,2.4042674127995656
3,config_03.png,3.7618007621663674,2.9,6.661800762166367,6.661800762166367,2.420249236761371
4,config_04.png,4.67336813694071,2.9,7.57336813694071,7.57336813694071,2.4312390438401805
5,config_05.png,5.1974258287679955,2.9,8.097425828767996,8.097425828767996,2.719737824136903
6,config_06.png,5.51829688828138,2.9,8.41829688828138,8.41829688828138,2.583107633991405
7,config_07.png,5.672765749976281,2.9,8.57276574997628,8.57276574997628,2.620186887585907
8,config_08.png,5.724963565456348,2.9,8.624963565456348,8.624963565456348,2.691035273285172
