frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.12963564781466042,3.0,3.12963564781466,3.12963564781466,0.737952660092564
2,config_02.png,0.17507379856649338,3.0,3.175073798566493,3.175073798566493,1.3414695275738935
3,config_03.png,0.2807357617000364,3.0,3.2807357617000363,3.2807357617000363,2.5181940790192896
4,config_04.png,0.33772200608349484,3.0,3.337722006083495,3.337722006083495,2.5827133894544745
5,config_05.png,0.38961436766359947,3.0,3.3896143676635995,3.3896143676635995,1.548582879786811
6,config_06.png,0.4594898451057275,3.0,3.459489845105727,3.459489845105727,1.4099908112578718
7,config_07.png,0.509949797668307,3.0,3.5099497976683067,3.5099497976683067,1.2352441909656398
8,config_08.png,0.556626313136014,3.0,3.556626313136014,3.556626313136014,1.513475413944626
