n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,source_pool,source,split,gid,length_bin,sub_id
0.83548793,156.0662535,81.0836312,6.6,4.3,0.42395592,0.87233496,1.2786961,1.648099,1.9803791,2.27876,2.545929,2.7863173,v6_1_train,orig_train,train,22,1,7
0.74301932,106.9528361,315.91984367,6.7,4.0,0.4354,1.0122013,1.51297,1.9274063,2.2669907,2.549274,2.7856684,2.9890633,v6_1_train,orig_train,val,22,2,10
0.40253004,114.35176965,395.24268046,6.5,4.8,0.5529175,1.6780257,2.7605548,3.56819,4.042599,4.2118144,4.2597995,4.293794,v6_1_train,orig_train,train,22,2,13
0.30753076,103.81229832,207.99882898,6.69926827,4.41319779,0.74166441,2.22628593,3.57729721,4.44545937,4.79837513,4.90895939,4.9547472,4.98269558,v6_1_train,,,22,2,11
0.95664293,35.86925888,32.55784988,6.6718359,4.6706934,0.69830608,1.89568615,2.87594032,3.55746365,4.03292179,4.37638187,4.63668728,4.84415722,v6_1_train,orig_val,train,22,2,12
0.84650105,43.41498947,145.08514404,6.15296364,4.20920992,0.63216877,1.63917112,2.47260237,3.02994585,3.39917898,3.66698408,3.87424421,4.04192686,v6_1_train,orig_train,train,22,2,12
0.37171585,292.04624571,1.81944711,6.3,4.9,0.54769325,1.5303402,2.425932,3.0749292,3.4916525,3.7707663,3.9731617,4.1335573,v6_1_train,orig_train,val,22,2,9
0.53706529,141.90525665,211.61038012,6.3,4.2,0.51988363,1.3989182,2.1975484,2.7778525,3.1622057,3.433941,3.634684,3.7926755,v6_1_train,orig_train,train,22,2,9
0.33036337,118.03246551,88.42775647,6.4,4.9,0.8137951,2.8290758,4.85767,6.452298,7.307659,7.5696964,7.6287794,7.6570663,v6_1_train,orig_val,train,22,3,15
0.6566447,198.22337431,1.36228813,6.6,4.1,0.46230888,1.0625696,1.5844703,2.0293155,2.4063597,2.728302,3.0054488,3.258523,v6_1_test,orig_train,val,22,2,10
0.43904709,246.56658736,77.63299456,6.8,4.6,0.5107932,1.3815632,2.1763945,2.7786632,3.2039418,3.519711,3.7569842,3.9449792,v6_1_train,orig_train,train,22,2,12
0.33121442,146.43334727,136.23289618,6.1,4.7,0.70879793,2.3398438,3.9458413,5.1390767,5.745419,5.9295897,5.989207,6.0275493,v6_1_train,orig_train,train,22,3,15
0.4103721,45.41456478,6.45840971,6.6,4.9,1.1083179,3.8950758,6.795226,9.2228,10.712803,11.27262,11.408782,11.458726,v6_1_train,orig_train,train,22,3,18
0.75471261,48.53869741,253.70876094,6.9,4.5,0.61360836,1.861803,3.0575237,3.9357233,4.4808416,4.780489,4.9628153,5.0922403,v6_1_train,orig_train,train,22,2,13
