frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.263481428479289,4.8,5.063481428479289,5.063481428479289,2.397426084169502
2,config_02.png,0.7046464027568228,4.8,5.504646402756823,5.504646402756823,1.5694345481402223
3,config_03.png,1.0807655229652504,4.8,5.880765522965251,5.880765522965251,1.7494024565018722
4,config_04.png,1.3449423926383623,4.8,6.144942392638362,6.144942392638362,1.2878701960167105
5,config_05.png,1.5252882723480534,4.8,6.325288272348054,6.325288272348054,1.7882440747707673
6,config_06.png,1.6694892728738338,4.8,6.469489272873834,6.469489272873834,1.8943764827491105
7,config_07.png,1.7974341032878343,4.8,6.597434103287834,6.597434103287834,1.5786004993951357
8,config_08.png,1.9050537079364536,4.8,6.705053707936454,6.705053707936454,1.6504474495322192
