frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,1.0425415852779194,3.0,4.042541585277919,4.042541585277919,1.6563562672808119
2,config_02.png,2.443605199402979,3.0,5.443605199402979,5.443605199402979,1.7254494734101704
3,config_03.png,3.5368325597589916,3.0,6.536832559758992,6.536832559758992,1.794156452288559
4,config_04.png,4.155973607551773,3.0,7.155973607551773,7.155973607551773,1.7258833590777678
5,config_05.png,4.424696712846027,3.0,7.424696712846027,7.424696712846027,1.9303529740509555
6,config_06.png,4.561188625955201,3.0,7.561188625955201,7.561188625955201,1.0252945620418425
7,config_07.png,4.646300077007656,3.0,7.646300077007656,7.646300077007656,1.132370677558192
8,config_08.png,4.712675978004505,3.0,7.712675978004505,7.712675978004505,1.3794709221395003
