n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,sub_id
0.88911351,94.2794074,139.95420894,5.7,2.1,0.28992796,0.6217518,0.9325495,1.2185102,1.4743285,1.7017934,1.9023623,2.0797846,38
0.76581513,148.52201207,311.99127441,5.5,2.2,0.22086,0.40600896,0.57966423,0.7428756,0.8962791,1.0391505,1.17115,1.2933066,61
0.3905577039227573,270.0030847261502,362.8127568460166,5.51950359,2.0,0.1140604019165039,0.1170535087585449,0.1356897354125976,0.1599683761596679,0.1660094261169433,0.1724591255187988,0.1822767257690429,0.1850409507751464,22
0.73670335,28.20807013,255.85471061,5.0,2.6,0.59038115,1.7665455,2.7910879,3.3889463,3.63923,3.737469,3.7936394,3.8391526,47
0.4793730980292837,0.8010776599020559,0.4458865341774989,5.145962481990824,2.1674224026030333,1.238706111907959,4.027910232543945,7.115077018737793,9.738924026489258,11.167835235595703,11.216238021850586,11.221284866333008,11.225393295288086,10
0.96628249,69.63804032,38.25832351,5.1,2.0,0.33913898,0.7593515,1.1422491,1.4789736,1.7676897,2.0158591,2.2297907,2.4172106,29
0.39937587,26.75102774,28.9623065,5.5,2.5,1.01064873,2.90658712,4.40501547,5.17665148,5.55242205,5.84525442,6.0781951,6.25213099,24
0.69569306,127.1292725,261.4001813,5.8,2.4,0.3074975,0.6669693,0.9798541,1.2535698,1.4893947,1.6933825,1.8699982,2.0239108,38
0.74872452,139.75983253,249.5409663,5.8,2.7,0.31315732,0.63145304,0.91316915,1.169177,1.3973792,1.6010702,1.7819993,1.9433143,38
0.54202329,254.36774128,7.42009685,5.0,2.7,0.3514986,0.73010445,1.0495269,1.3267052,1.5648715,1.7715123,1.9518955,2.1111147,36
0.60809058,220.20741315,109.35824908,5.47833269,2.0,0.17341185,0.26732779,0.36318827,0.4469533,0.52454138,0.59569788,0.66115189,0.72285748,39
0.98029013,201.8639179,331.85046445,5.6,2.7,0.20016551,0.2881055,0.41238642,0.51802254,0.62635756,0.73326707,0.83534527,0.93394303,41
0.36645343,269.70459106,377.58669092,5.2,2.5,0.25957775,0.47265148,0.6100311,0.72844625,0.83409,0.92902136,1.0143812,1.0919263,53
0.79913041,174.65773377,20.64479857,5.89941004,2.29927078,0.22452736,0.41113949,0.58506107,0.74298763,0.88840389,1.02287817,1.14626932,1.25950384,59
0.3,2.0132388950409914,24.821906062608203,5.8,2.5,1.2219104766845703,3.974327087402344,7.022152900695801,9.55306911468506,11.014283180236816,11.130316734313965,11.130846977233888,11.131377220153809,12
0.8970769,168.90077209,143.9515686,5.27370977,2.15310502,0.1636281,0.26324511,0.3667407,0.45785379,0.54538298,0.62814856,0.70442772,0.7760334,40
0.8610376977817781,20.04967118921728,0.0181078770527828,5.019009190659038,2.101023609075259,0.6397123336791992,1.6041240692138672,2.263792037963867,2.688535213470459,2.998131275177002,3.244597911834717,3.4459691047668457,3.6174721717834473,32
0.57550634,60.10684243,397.64846554,5.40895748,2.34859495,0.28644562,0.47526026,0.55373096,0.59852171,0.63106728,0.65646601,0.67856598,0.69682646,16
0.8139304,216.6247527,269.78363773,5.75595545,2.78815792,0.18808603,0.25559282,0.3539114,0.42764044,0.49874592,0.56773186,0.63071299,0.68997049,41
0.3,171.0176554163233,309.58499637939724,5.75018215,2.40086746,0.2817163467407226,0.4559102058410644,0.5315694808959961,0.5847787857055664,0.6268801689147949,0.6622152328491211,0.6925406455993652,0.7192153930664062,16
0.9497693009632177,223.60497051732523,0.3793899863516831,5.952280016973052,2.926840875462487,0.2388572692871093,0.3862538337707519,0.5587921142578125,0.7117505073547363,0.8606276512145996,1.0014090538024902,1.134432315826416,1.2600789070129397,6
0.8266234847966216,265.0624667033768,1.0676363107063762,5.085671633995797,2.0431023277364395,0.1487865447998047,0.236795425415039,0.3365001678466797,0.4303998947143554,0.5185441970825195,0.603945255279541,0.6855416297912598,0.7637157440185547,39
0.3162968592492476,189.94850184292616,388.901805907907,5.37927228,2.0,0.1526212692260742,0.1587786674499511,0.1849207878112793,0.2025794982910156,0.2083549499511718,0.2132463455200195,0.2201089859008789,0.2221550941467285,22
0.4879938,5.38764795,26.98623442,5.03133921,2.95281701,1.27024269,3.89810514,6.45426226,8.22571182,8.97346878,9.25117493,9.49046516,9.84377098,56
0.6167021,277.28237611,172.05852215,5.3,2.1,0.18516159,0.31646204,0.4496367,0.5763581,0.6980121,0.81424093,0.9256153,1.031223,8
0.92499615,12.66662664,266.90895054,5.6,2.2,0.5689614,1.75436,2.8442044,3.525446,3.8375,3.945485,3.9901786,4.0224485,47
0.72814391,21.69091743,208.51900794,5.1,2.7,0.692332,2.170699,3.5133407,4.3385677,4.662099,4.7511024,4.786189,4.8122864,47
0.7961163848538639,173.22418458232272,0.0342115367815764,5.591367237463219,2.1859088416181027,0.2259116172790527,0.4178671836853027,0.596409797668457,0.7592997550964355,0.9087591171264648,1.0458431243896484,1.1716070175170898,1.2866058349609375,58
0.38619608,171.52770996,7.44535637,5.84842968,2.70713496,0.51205301,1.22913599,1.75033379,2.04477739,2.23067379,2.37888718,2.4991293,2.60495758,13
0.87947194,282.71570738,197.53663392,5.1,2.4,0.16599989,0.24920559,0.34852958,0.4485855,0.54074264,0.6340513,0.7249646,0.81278944,40
0.502260666782332,2.4407830979102902,0.0354179727612679,5.64885539326738,2.5841364895196115,1.2830586433410645,4.169252872467041,7.235333919525146,9.522010803222656,10.71356201171875,10.826688766479492,10.83772087097168,10.92978858947754,10
0.99606723,196.70901489,9.86499405,5.44061184,2.01979327,0.155828,0.26428747,0.38059711,0.49113226,0.59587002,0.69684172,0.79257631,0.8836956,39
0.6506383224711364,1.2950466238168676,0.0099356664298993,5.275648378076498,2.97178408785726,1.3296003341674805,4.389413356781006,7.5941290855407715,9.931184768676758,11.134912490844728,11.424440383911133,11.449747085571287,11.690216064453123,10
0.82793107,233.79519518,155.14508554,5.9,2.2,0.18167806,0.30602074,0.44502163,0.5780082,0.70711994,0.83344865,0.9558599,1.0739009,8
0.9399085215271296,173.070764131349,382.81700779771575,5.10819501,2.28693252,0.1476469039916992,0.1577210426330566,0.2023501396179199,0.2415976524353027,0.2672686576843261,0.2965312004089355,0.3275904655456543,0.3523311614990234,5
0.50473251,58.29018054,188.60970952,5.0,2.6,0.63697624,1.9900291,3.2079804,3.931383,4.185032,4.2495756,4.287836,4.322447,47
0.76588165,215.68827641,42.71465491,5.7,2.1,0.21538925,0.40111613,0.59174633,0.7749016,0.9511678,1.1189764,1.277803,1.4266737,59
0.9412014934673943,26.03264015156674,0.0429094870567352,5.839625689967973,2.048622282832061,0.5100374221801758,1.2174429893493652,1.7453269958496094,2.11326265335083,2.391412734985352,2.617738723754883,2.808798789978028,2.9899559020996094,32
