frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,0.771191103790432,3.3000000000000003,4.071191103790432,4.071191103790432,0.7524746105953939
2,config_02.png,2.0228446141205225,3.3000000000000003,5.322844614120522,5.322844614120522,1.7467325364272952
3,config_03.png,2.9890413624196697,3.3000000000000003,6.28904136241967,6.28904136241967,1.860484243754812
4,config_04.png,3.5621447018577084,3.3000000000000003,6.862144701857709,6.862144701857709,1.93529389898133
5,config_05.png,3.8800257336002493,3.3000000000000003,7.1800257336002495,7.1800257336002495,1.8679593885025492
6,config_06.png,4.049793106178949,3.3000000000000003,7.349793106178949,7.349793106178949,2.181930828526954
7,config_07.png,4.165808432335661,3.3000000000000003,7.465808432335661,7.465808432335661,1.9403416751170384
8,config_08.png,4.249821644451646,3.3000000000000003,7.5498216444516455,7.5498216444516455,1.6947532640180396
