frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,1.468331639393615,2.5,3.968331639393615,3.968331639393615,1.2161138644202678
2,config_02.png,3.1182457059866784,2.5,5.618245705986678,5.618245705986678,1.4737781287814222
3,config_03.png,4.280026633330112,2.5,6.780026633330112,6.780026633330112,1.6452491110355933
4,config_04.png,4.87123081738277,2.5,7.371230817382771,7.371230817382771,1.7661509973131095
5,config_05.png,5.112280928010899,2.5,7.612280928010899,7.612280928010899,1.948053747417705
6,config_06.png,5.215406331763015,2.5,7.715406331763015,7.715406331763015,2.020425213476404
7,config_07.png,5.275506871507547,2.5,7.775506871507547,7.775506871507547,1.846571070326994
8,config_08.png,5.317636420856709,2.5,7.817636420856709,7.817636420856709,1.8122965526132295
